page,rows
https://www.lostiempos.com/actualidad/mundo?page=0,https://www.lostiempos.com/actualidad/mundo/20220720/compleja-operacion-sacar-cereales-ucrania
https://www.lostiempos.com/actualidad/mundo?page=0,https://www.lostiempos.com/actualidad/mundo/20220720/ranil-wickremesinghe-gana-presidencia-sri-lanka-voto-parlamentario
https://www.lostiempos.com/actualidad/mundo?page=0,https://www.lostiempos.com/actualidad/mundo/20220720/vista-baby-dice-boris-johnson-al-despedirse-diputados-britanicos
https://www.lostiempos.com/actualidad/mundo?page=0,https://www.lostiempos.com/actualidad/mundo/20220719/twitter-impone-su-criterio-su-juicio-contra-musk-se-celebrara-octubre
https://www.lostiempos.com/actualidad/mundo?page=0,https://www.lostiempos.com/actualidad/mundo/20220719/cristina-fernandez-lanza-criticas-al-supremo-vaticina-condena-su-contra
https://www.lostiempos.com/actualidad/mundo?page=0,https://www.lostiempos.com/actualidad/mundo/20220719/eeuu-amenaza-mas-sanciones-si-rusia-sigue-anexionando-territorio-ucranio
https://www.lostiempos.com/actualidad/mundo?page=0,https://www.lostiempos.com/actualidad/mundo/20220719/lula-acusa-bolsonaro-crear-confusion-brasil-como-trump-eeuu
https://www.lostiempos.com/actualidad/mundo?page=0,https://www.lostiempos.com/actualidad/mundo/20220719/presidente-peru-nombra-su-septimo-ministro-del-interior-ano
https://www.lostiempos.com/actualidad/mundo?page=0,https://www.lostiempos.com/actualidad/mundo/20220719/candidato-repudiado-manifestantes-es-favorito-presidir-sri-lanka
https://www.lostiempos.com/actualidad/mundo?page=0,https://www.lostiempos.com/actualidad/mundo/20220719/fmi-alerta-efectos-devastadores-media-europa-si-rusia-bloquea-gas
https://www.lostiempos.com/actualidad/mundo?page=0,https://www.lostiempos.com/actualidad/mundo/20220719/reino-unido-se-encamina-record-calor-peninsula-iberica-sigue-ardiendo
https://www.lostiempos.com/actualidad/mundo?page=0,https://www.lostiempos.com/actualidad/mundo/20220718/prorrusos-aseguran-haber-tomado-control-operativo-siversk
https://www.lostiempos.com/actualidad/mundo?page=0,https://www.lostiempos.com/actualidad/mundo/20220718/muere-giovanola-fundadora-argentinas-abuelas-plaza-mayo
https://www.lostiempos.com/actualidad/mundo?page=0,https://www.lostiempos.com/actualidad/mundo/20220718/juez-mexicano-frena-extradicion-del-capo-caro-quintero-eeuu
https://www.lostiempos.com/actualidad/mundo?page=1,https://www.lostiempos.com/actualidad/mundo/20220718/monedas-argentina-chile-colombia-son-mas-devaluadas
https://www.lostiempos.com/actualidad/mundo?page=1,https://www.lostiempos.com/actualidad/mundo/20220718/europa-occidental-lucha-contra-fuego-se-alista-calor-record
https://www.lostiempos.com/actualidad/mundo?page=1,https://www.lostiempos.com/actualidad/mundo/20220718/ucrania-contraataca-mejor-nuevas-armas
https://www.lostiempos.com/actualidad/mundo?page=1,https://www.lostiempos.com/actualidad/mundo/20220717/informe-senala-errores-graves-autoridades-tiroteo-uvalde
https://www.lostiempos.com/actualidad/mundo?page=1,https://www.lostiempos.com/actualidad/mundo/20220717/ucrania-no-aceptara-que-canada-envie-turbinas-nord-stream-dice-zelenski
https://www.lostiempos.com/actualidad/mundo?page=1,https://www.lostiempos.com/actualidad/mundo/20220717/iran-tiene-capacidad-tecnica-fabricar-bomba-nuclear-dice-funcionario
https://www.lostiempos.com/actualidad/mundo?page=1,https://www.lostiempos.com/actualidad/mundo/20220717/tradiciones-colores-alegria-mexico-toman-lincoln-center-nueva-york
https://www.lostiempos.com/actualidad/mundo?page=1,https://www.lostiempos.com/actualidad/mundo/20220717/partido-lopez-denuncia-aumento-desnutricion-infantil-venezuela
https://www.lostiempos.com/actualidad/mundo?page=1,https://www.lostiempos.com/actualidad/mundo/20220717/primeros-casos-del-virulento-virus-marburgo-ghana
https://www.lostiempos.com/actualidad/mundo?page=1,https://www.lostiempos.com/actualidad/mundo/20220717/acusan-al-gobierno-britanico-no-tomarse-serio-ola-calor
https://www.lostiempos.com/actualidad/mundo?page=1,https://www.lostiempos.com/actualidad/mundo/20220717/jefe-militar-britanico-desmiente-rumores-estado-salud-putin
https://www.lostiempos.com/actualidad/mundo?page=1,https://www.lostiempos.com/actualidad/mundo/20220717/estamos-vivos-es-buen-dia-rutina-civiles-ucrania
https://www.lostiempos.com/actualidad/mundo?page=1,https://www.lostiempos.com/actualidad/mundo/20220717/desaprobacion-al-presidente-peru-sube-al-74-dias-primer-ano-gobierno
https://www.lostiempos.com/actualidad/mundo?page=1,https://www.lostiempos.com/actualidad/mundo/20220717/tension-geopolitica-divide-cumbre-finanzas-del-g20
https://www.lostiempos.com/actualidad/mundo?page=2,https://www.lostiempos.com/actualidad/mundo/20220717/incendios-calor-extremo-asolan-sur-europa
https://www.lostiempos.com/actualidad/mundo?page=2,https://www.lostiempos.com/actualidad/mundo/20220716/tormenta-tropical-estelle-avanza-ocasionando-fuertes-lluvias-mexico
