page,rows,country,title,time,article
https://www.lostiempos.com/actualidad/mundo?page=0,https://www.lostiempos.com/actualidad/mundo/20220720/compleja-operacion-sacar-cereales-ucrania,Bolivia,"
          La compleja operación para sacar los cereales de Ucrania        ","
            Publicado el 20/07/2022 a las 9h01    ","
	Las negociaciones para abrir corredores marítimos y sacar 20 millones de toneladas de cereales de Ucrania avanzan, aunque un acuerdo solo representará un alivio parcial para los países importadores.
Negociaciones cruciales
	Las negociaciones arrancaron a principios de junio entre Rusia y Ucrania, con la mediación de Turquía.
	Los dos países en guerra representan el 30% del comercio mundial de trigo.
	Esas negociaciones son cruciales porque ningún otro país productor ha logrado hasta ahora paliar el desplome de las exportaciones ucranianas (25 millones de toneladas inicialmente), en un mercado que ya estaba muy afectado por el alza de los precios de materias primas antes del estallido del conflicto.
	El precio del trigo o del maíz se disparó tras la invasión rusa del 24 de febrero, y países como Egipto, Líbano o Túnez sufren particularmente de la falta de esos cereales.
	Los precios han empezado a bajar en las últimas semanas gracias a una nueva cosecha, y a las esperanzas en torno a las negociaciones para el corredor marítimo.
	Turquía afirmó el lunes que se había alcanzado ""un acuerdo de principio"" entre ambas partes, aunque no se han resuelto ""todos los interrogantes"".
El papel de Turquía
	""Solo hay un puñado de países, entre ellos Turquía y Catar, capaces de hablar con casi todo el mundo y evitar mayores desgracias"" explicó a la AFP Colin Clarke, experto del centro de análisis Soufan en Estados Unidos.
	El presidente turco Recep Tayyip ""Erdogan demostró que podía hacerlo y es por eso que fue un intermediario de confianza no solamente para Rusia, sino también, aunque con reticencias, para los países de la OTAN"", explicó Clarke.
	Esta crisis ofrece nuevas cartas al régimen de Ankara. Erdogan ""puede proclamar que trabaja para resolver la crisis alimentaria mundial, aunque todo el mundo sabe que Turquía bloquea las negociaciones en otros terrenos. Tienen sus preocupaciones, y sus prioridades no se corresponden con las prioridades de la comunidad internacional"", añadió.
Los términos del acuerdo
	El 90% de las exportaciones de trigo, maíz y girasol de Ucrania se realizaban por vía marítima, esencialmente a través del puerto de Odesa, que concentra el 60% de la actividad portuaria del país.
	Un acuerdo entre rusos y ucranianos deberá ante todo garantizar el desminado de los puertos, efectuado ""por los ucranianos o la ONU"", luego el embarque de los cereales, ""que podría hacer bajo la protección de la ONU"" y finalmente ""la inspección de la carga"" y la escolta de los buques, que reclama Rusia, para poder impedir la entrada de armas, según Edward de Saint-Denis, corredor de la firma francesa Plantureux.
	¿Ese control podría realizarse en aguas ucranianas o internacionales? Y ¿qué barcos serían autorizados para cargar los cereales, y con qué equipajes? ""Los rusos no quiere ucranianos y viceversa"" explica este experto en materias primas.
	Turquía ha propuesto su flota, pero finalmente el compromiso podría llegar mediante barcos bajo bandera de conveniencia, según un observador del mercado.
Las consecuencias 
	""Un acuerdo logrará bajar los precios a corto plazo, pero en términos de flujos no cambiará mucho"" explica Edward de Saint-Denis.
	""Hay que contar entre uno y dos meses para el desminado"" y luego ""hay que volver a acondicionar las zonas de desembarque"", en particular la zona administrativa del puerto de Odesa, destruida por los bombardeos, añade.
	""A todo el mundo le interesa que el tráfico se reanude en el Mar Negro, tanto a los ucranianos como a los rusos, que tendrán una cosecha excepcional para exportar"", considera el analista de mercados agrícolas Gautier Le Molgat."
https://www.lostiempos.com/actualidad/mundo?page=0,https://www.lostiempos.com/actualidad/mundo/20220720/ranil-wickremesinghe-gana-presidencia-sri-lanka-voto-parlamentario,Bolivia,"
          Ranil Wickremesinghe gana la presidencia de Sri Lanka tras voto parlamentario        ","
            Publicado el 20/07/2022 a las 9h10    ","
	Ranil Wickremesinghe se ha convertido en el nuevo presidente de Sri Lanka tras una votación secreta en el Parlamento este miércoles, después de que el exmandatario Gotabaya Rajapaksa se viese obligado a abandonar el cargo y salir del país en plena ola de manifestaciones por la crisis económica.
	El presidente del Parlamento, Mahinda Yapa Abeywardena, anunció que Wickremesinghe obtuvo 134 apoyos de los 225 parlamentarios que debían decidir el futuro jefe de Estado de una nación sumida en una profunda inestabilidad política y financiera.
	Dullas Alahapperuma, que también contaba con el apoyo de una parte del Sri Lanka Podujana Peramuna (SLPP) y del líder opositor Sajith Premadasa, se hizo por su parte con 82 votos mientras que el tercer candidato en liza, Anura Kumara Dissanayake, de la coalición izquierdista NPP, tan solo obtuvo tres apoyos.
WICKREMESINGHE PIDE COLABORACIÓN AL RESTO DE PARTIDOS
	""Nuestro país está en una crisis económica y tenemos que introducir un nuevo programa. Se lo pido especialmente a Dullas y Anura Dissanayake"", dijo Wickremesinghe en el Parlamento tras darse a conocer los resultados de la votación.
	El político, que subrayó su presencia en la Cámara desde hace 45 años y ha sido cinco veces primer ministro, pidió a ambos candidatos y a otros políticos que trabajen juntos para sacar al país de la crisis.
	""Ahora, el tiempo para nuestras divisiones se ha acabado. Estoy listo para conversar con todos vosotros"", señaló el nuevo presidente esrilanqués.
	El político dirigirá el país hasta 2024, completando así el mandato del depuesto Gotabaya Rajapaksa, a los mandos de un Gobierno que deberá retomar las conversaciones con el Fondo Monetario Internacional (FMI) sobre un posible rescate financiero.
	El político accedió inicialmente al cargo de primer ministro del Gobierno de Rajapaksa en sustitución del hermano del exdirigente, Mahinda Rajapaksa, que se vio obligado a abandonar el puesto el pasado 9 de mayo cuando sus seguidores atacaron a manifestantes en Colombo.
LOS MANIFESTANTES REPRUEBAN LA VICTORIA
	Wickremesinghe contó en la votación de hoy con el apoyo de parte de una facción del Sri Lanka Podujana Peramuna (SLPP), del depuesto presidente, aunque su candidatura ha enfurecido a los manifestantes que llevan reclamando su dimisión desde que accedió al puesto de primer ministro, y han amenazado con protestas en caso de resultar elegido.
	""El país entero no quería que Ranil resultase elegido, porque es una persona que ha sido rechazada. No llegó al Parlamento gracias al voto de los esrilanqueses, sino porque Gotabaya Rajapaksa quería darle una oportunidad"", explicó a Efe Rifas Mohamed Farook, uno de los manifestantes de la acampada del parque Galle de Colombo, epicentro de las protestas.
	""Ahora la mayoría (de los manifestantes) opina que no nos podremos marchar, tenemos que protestar más hasta que se vaya"" del poder, dijo Farook.
	El país isleño sufre desde hace meses escasez de medicamentos, alimentos y combustible, provocada en parte por el gran endeudamiento, erradas políticas gubernamentales, y el impacto de los atentados de Pascua y la pandemia en el turismo.
	Esta situación dio lugar a protestas por toda la isla desde finales de marzo, cuando miles de personas comenzaron a salir a las calles para pedir la dimisión de Rajapaksa, y que el pasado 9 de julio culminaron en la irrupción de las residencias oficiales de Rajapaksa y de Wickremesinghe, obligando al presidente a abandonar su cargo y el país."
https://www.lostiempos.com/actualidad/mundo?page=0,https://www.lostiempos.com/actualidad/mundo/20220720/vista-baby-dice-boris-johnson-al-despedirse-diputados-britanicos,Bolivia,"
          ""Hasta la vista, baby"", dice Boris Johnson al despedirse de los diputados británicos        ","
            Publicado el 20/07/2022 a las 9h17    ","
	Boris Johnson se despidió el miércoles del Parlamento británico tras su última sesión de preguntas como primer ministro, defendiendo su trayectoria y lanzando un ""¡hasta la vista, baby!"" entre los aplausos de los conservadores y los abucheos de la oposición. 
	""Misión ampliamente cumplida"", aseguró el primer ministro al hacer un balance de sus tres años de mandato. Y afirmó que dedicará las próximas semanas a ""hacer lo que cree que los ciudadanos esperan que haga: avanzar en los temas por los que fuimos elegidos en 2019."" 
	""Estos últimos años han sido el mayor privilegio de mi vida"", añadió Johnson, de 58 años, que el 7 de julio anunció su dimisión tras perder el apoyo de su Partido Conservador en un contexto de múltiples escándalos que lastraron su popularidad.
	Concluyó diciendo: ""¡Hasta la vista, baby!"", en español, entre los aplausos de su bancada, repitiendo la célebre frase pronunciada por Arnold Schwarzenegger en la película ""Terminator 2"". 
	El sucesor de Johnson se conocerá el 5 de septiembre, al término del receso parlamentario que comienza el viernes. 
	El líder de la oposición, el laborista Keir Starmer, le interrogó sobre la actual campaña en el seno de su partido para sustituirle como líder e inquilino de Downing Street, incluida la cancelación de un debate televisado entre los candidatos el martes.  
	""Bueno, no sigo el tema con especial atención"", bromeó Johnson, ante las risas de los diputados. 
	Pero aprovechó para dar ""algunos consejos"" a quien le suceda como primer ministro: ""Permanezca cerca de los estadounidenses, apoye a los ucranianos, luche por la libertad y la democracia en todas partes; baje los impuestos y desregule donde pueda para hacer de este país el mejor lugar para vivir e invertir"". 
	Los diputados conservadores votan por quinta y última vez el miércoles para designar a los dos candidatos finalistas a su sucesión, entre quienes elegirá después los cerca de 200.000 afiliados del Partido Conservador británico. 
	Quedaban tres candidatos en liza: el exministro de Finanzas Rishi Sunak, la jefa de la diplomacia Liz Truss y la secretaria de Comercio Exterior Penny Mordaunt."
https://www.lostiempos.com/actualidad/mundo?page=0,https://www.lostiempos.com/actualidad/mundo/20220719/twitter-impone-su-criterio-su-juicio-contra-musk-se-celebrara-octubre,Bolivia,"
          Twitter impone su criterio y su juicio contra Musk se celebrará en octubre        ","
            Publicado el 19/07/2022 a las 16h55    ","
	El juicio entre Twitter y Elon Musk se celebrará el próximo octubre y durará en principio cinco días, según decidió este martes el tribunal comercial que se encarga del caso, que accedió a la solicitud de la red social para proceder por la vía rápida, según medios estadounidenses.
	Twitter, que quiere forzar a Musk a completar la adquisición de la empresa por los 44.000 millones de dólares pactados, había pedido a la Corte con sede en Wilmington (Delaware, EE.UU.) ver la cuestión ""lo antes posible"" dado los daños que está sufriendo a causa del frenazo a la operación.
	Mientras, el multimillonario empresario solicitaba que, como muy pronto, el juicio arrancase en febrero de 2023.
	En documentos judiciales, el equipo legal de Musk había insistido en que la ""disputa sobre las cuentas falsas y de 'spam' es fundamental para el valor de Twittter"" y había pedido ""tiempo sustancial"" para una investigación"", considerando ""innecesario"" proceder con un ""calendario vertiginoso"".
	Del otro lado, la empresa subrayaba que cada día que pasa sus intereses se ven dañados por la maniobra de Musk, que decidió cancelar la compra de Twitter que había pactado el pasado abril con el argumento de que la plataforma lo engañó y no le da los datos que pide.
	Se refería, sobre todo, a datos sobre el número de cuentas falsas o de ""spam"" (""bots"") presentes en la red social, que la empresa cifra en torno al 5 % pero que él cree que es mucho mayor.
	Para numerosos analistas, la cuestión de los ""bots"" es simplemente la excusa que Musk ha buscado para dar marcha atrás a una operación que cada vez parece más ruinosa: Twitter cotiza por debajo de 40 dólares, muy lejos de los 54,20 por título que Musk pactó pagar, mientras que las acciones de Tesla -el principal activo de la fortuna del empresario- han caído con fuerza este año.
	En respuesta, Twitter presentó una demanda ante este tribunal especializado en disputas comerciales con el objetivo de que se obligue a Musk a cerrar la operación en los términos acordados.
	Hoy, la jueza Kathaleen McCormick celebró una primera vista para abordar el calendario, en la que se inclinó por los argumentos presentados por Twitter, que pedía iniciar un juicio de cuatro días en septiembre.
	Finalmente el proceso tendrá lugar en octubre y durará en principio cinco días, según la decisión de McCormick. "
https://www.lostiempos.com/actualidad/mundo?page=0,https://www.lostiempos.com/actualidad/mundo/20220719/cristina-fernandez-lanza-criticas-al-supremo-vaticina-condena-su-contra,Bolivia,"
          Cristina Fernández lanza críticas al Supremo y vaticina condena en su contra        ","
            Publicado el 19/07/2022 a las 17h00    ","
	La vicepresidenta de Argentina, Cristina Fernández, lanzó serias acusaciones en contra de la Corte Suprema de Justicia de su país y vaticinó un fallo en su contra en el juicio al que se le somete por presuntas irregularidades en la concesión de obras públicas.
	En un video que lleva su voz difundido a través de las redes sociales, quien gobernara Argentina entre 2007 y 2015 aseguró que la Corte se ha sumido en un proceso de ""decadencia"" a partir del Gobierno de Mauricio Macri (2015-2019).
	La vicepresidenta acusó a la Corte de convalidar la ""persecución que aún continúa"" desde los tribunales federales contra dirigentes políticos kirchneristas, sindicales y ""hasta empresarios de medios no afines con el Gobierno de Mauricio Macri"".
	También afirmó que el Supremo ""se transformó en un lugar de permanentes intrigas palaciegas y disputas de poder por la Presidencia del cuerpo y los recursos del Poder Judicial"", una lucha que, desde su punto de vista, culminó en septiembre pasado cuando la Corte eligió a Horacio Rosatti y Carlos Rosenkrantz -dos jueces supremos designados por Macri- como presidente y vicepresidente del máximo tribunal.Poder ""vulnerable""
	Según Fernández, la actual composición de la Corte, de tan solo cuatro miembros, le convierte en ""un órgano muy vulnerable frente a las presiones de los poderes fácticos y mediáticos"".
	""Con tantos muertos en sus roperos, no les queda más remedio que hacer lo que les manden bajo pena de ejecución sumaria en titulares y noticieros"", aseveró la vicepresidenta.
	Según Fernández, estos poderes tienen como objetivo ""intervenir directa y explícitamente sobre todos los magistrados"", proteger ciertos jueces designados por Macri, ""garantizar su propia impunidad y, fundamentalmente, continuar con la persecución"".
	""De esta manera el Poder Judicial, devenido en partido político protector del macrismo y perseguidor de los dirigentes de las distintas fuerzas que se le oponen, coloca a los ciudadanos y ciudadanas en situación de libertad condicional"", sostuvo.""Aval anticipado para la condena""
	En otro tramo de su mensaje, la vicepresidenta cuestionó un fallo de la Corte de junio pasado en el que el máximo tribunal rechazó todos los recursos presentados por la defensa de Fernández y las medidas de prueba solicitadas por sus abogados en una causa judicial relativa a presuntas irregularidades en la concesión de obras viales durante su gobierno.
	Por esa causa, la expresidenta y otros exintegrantes de su Gobierno son sometidos desde mayo de 2019 a un juicio oral, que recientemente entró en la etapa de alegatos finales.
	Según Fernández, el fallo de la Corte contrario a los reclamos de la defensa implica un ""prejuzgamiento explícito y descarado"" por parte de los miembros del máximo tribunal y es ""con un aval anticipado para la condena"" en el juicio en su contra, que, según la vicepresidenta, ""ya la tienen escrita"" y ""hasta firmada"".
	En la causa, Fernández está procesada por el presunto delito de asociación ilícita y defraudación en perjuicio a la administración pública.
	En el caso se juzgan las presuntas irregularidades en la concesión de 51 obras públicas a firmas del empresario Lázaro Báez durante los Gobiernos de Néstor Kirchner (2003-2007) y Cristina Fernández en la austral provincia de Santa Cruz."
https://www.lostiempos.com/actualidad/mundo?page=0,https://www.lostiempos.com/actualidad/mundo/20220719/eeuu-amenaza-mas-sanciones-si-rusia-sigue-anexionando-territorio-ucranio,Bolivia,"
          EEUU amenaza con más sanciones si Rusia sigue anexionando territorio ucranio        ","
            Publicado el 19/07/2022 a las 17h10    ","
	Estados Unidos amenazó este martes a Rusia con sanciones adicionales y más severas si continúa con su plan de anexionarse ilegalmente territorio ucranio, aseguró el coordinador de comunicaciones del Consejo de Seguridad Nacional, John Kirby.
	""Si Rusia sigue adelante con sus planes de anexión vamos a responder con rapidez y severidad, al unísono con nuestros aliados y socios"", apuntó Kirby en una rueda de prensa en la Casa Blanca.
	Unas nuevas sanciones que no precisó pero que convertirán a Rusia en ""un paria global mayor de lo que es ahora"", aseguró.
	Las sanciones de la comunidad internacional impuestas hasta ahora son responsables de que Moscú enfrente una inflación de hasta el 20 %, de la caída en los mercados del 30 % y de una bajada en las importaciones del 40 % ""gracias a toda la presión internacional"", dijo.
	Kirby insistió en que ""la situación no ha estado exenta de consecuencias para Rusia y podemos aumentar esas consecuencias en los próximos días"", al tiempo que explicó que en las zonas de Ucrania ocupadas por Rusia se está ""sancionando a los títeres y representantes rusos instalados"".
	El portavoz explicó el procedimiento que, según EEUU, está intentando llevar a cabo Rusia para ""violar la soberanía de Ucrania"", que es similar al que utilizó en la península de Crimea en el año 2014.
	Así, agregó, ""sabemos cuáles son sus próximos movimientos"", entre ellos la organización de ""referendums falsos para unirse a Rusia"", la apertura de sucursales de bancos rusos para establecer el rublo como la moneda predeterminada en estas áreas y el sabotaje al acceso de los civiles a internet.
	""Los servicios de seguridad de Rusia continúan apuntando a los ucranianos que creen que están asociados con actividades de resistencia, están tomando el control de las torres de transmisión, estableciendo fuerzas de seguridad leales, reemplazando la infraestructura de telecomunicaciones y obligando a los residentes a solicitar la ciudadanía rusa"", aseguró.
	Estados Unidos, añadió el funcionario, nunca reconocerá ""ningún territorio anexionado"" y apoyará los esfuerzos de ""rendición de cuentas por deportaciones forzadas, enjuiciamientos de la oposición y otros graves abusos contra los derechos humanos cometidos por Rusia"".
	Además, se continuará brindando al país europeo asistencia como el envío de un nuevo paquete con armamento y equipos para apoyar al Gobierno del presidente ucraniano, Volodímir Zelensky, que incluirá un sistema de cohetes avanzados y artillería, y que se enviará en los próximos días."
https://www.lostiempos.com/actualidad/mundo?page=0,https://www.lostiempos.com/actualidad/mundo/20220719/lula-acusa-bolsonaro-crear-confusion-brasil-como-trump-eeuu,Bolivia,"
          Lula acusa a Bolsonaro de crear ""confusión"" en Brasil, como Trump en EEUU        ","
            Publicado el 19/07/2022 a las 23h04    ","
	El expresidente de Brasil Luiz Inácio Lula da Silva, favorito para ganar los comicios presidenciales de octubre próximo, acusó al mandatario Jair Bolsonaro de generar ""confusión"", de la misma forma en que Donal Trump lo hizo durante las pasadas elecciones de Estados Unidos.
	""Bolsonaro quiere crear confusión como Trump hizo en Estados Unidos. Quiere crear sospechas donde no las hay. Está intentando engañar al pueblo para justificar una bobada cualquiera"", señaló Lula en sus redes sociales.
	Lula, quien gobernó Brasil entre 2003 y 2010, se refirió a la campaña de descrédito emprendida por Donald Trump en las elecciones presidenciales de 2020 en Estados Unidos.
	En la época, Trump atacó insistentemente y sin pruebas la votación por correo y puso en duda la exactitud del resultado que dio la victoria al demócrata Joe Biden.
	El líder del Partido de los Trabajadores se pronunció después de que Bolsonaro reunió la víspera a un grupo de embajadores extranjeros para cuestionar la fiabilidad de las urnas electrónicas que se usan en el país desde 1996, sin que desde entonces haya habido una sola denuncia de fraude.
	""Él (Bolsonaro) no está con miedo de las urnas electrónicas, está con miedo del pueblo brasileño"", recalcó el antiguo líder sindical.
	Lula lidera todas las encuestas de intención de voto cuando faltan menos de tres meses para los comicios de octubre y podría llegar a ganar en una primera vuelta.
	El exmandatario tiene alrededor del 45 % de los votos, unos quince puntos porcentuales más que Bolsonaro, quien en las últimas semanas ha intensificado sus ataques al voto electrónico, mediante el cual fue elegido como diputado por cerca de tres décadas y como presidente en 2018.
	En medio de su ofensiva, la oposición brasileña presentó este martes una nueva denuncia ante la Corte Suprema contra el jefe de Estado, quien ya es objeto de otra investigación en la Corte Suprema por ese asunto. "
https://www.lostiempos.com/actualidad/mundo?page=0,https://www.lostiempos.com/actualidad/mundo/20220719/presidente-peru-nombra-su-septimo-ministro-del-interior-ano,Bolivia,"
          Presidente de Perú nombra a su séptimo ministro del Interior en un año        ","
            Publicado el 19/07/2022 a las 23h15    ","
	El presidente del Perú, Pedro Castillo, nombró este martes al abogado Willy Huerta Olivas como su séptimo ministro del Interior, a poco de cumplir el primer año en el Ejecutivo, y después de pedir la renuncia a su antecesor Mariano González, que tenía en manos la búsqueda y captura de varios implicados en la denuncia de presunta corrupción abierta contra el mismo mandatario.
	En una rápida ceremonia en Palacio de Gobierno, Castillo tomó el juramento a Huerta Olivas como ministro del Interior, sólo dos semanas después de hacer lo mismo con González, que había pasado previamente por el Ministerio de Defensa en el gobierno de Pedro Pablo Kuczynski (2016-2018).
	Huerta Olivas es abogado y licenciado en Administración y Ciencias Policiales egresado de la Escuela de Oficiales de la Policía Nacional del Perú, además ha sido jefe de equipo de investigación de la Dirección Contra la Corrupción en apoyo al Ministerio Público.
	En las últimas horas, González había autorizado la creación de un grupo especial de la Policía Nacional para apoyar los casos de la fiscal anticorrupción Marita Barreto, que tiene a su cargo las investigaciones contra los más altos funcionarios, y se había comprometido a localizar a los prófugos en la denuncia abierta contra el mandatario, entre ellos el exministro de Transportes Juan Silva, el exsecretario de Palacio Bruno Pacheco y un sobrino de Castillo, Fray Vásquez.
	Los tres están denunciados en el caso de presunta organización criminal abierto contra Castillo por presuntamente haber recibido dinero, para entregar al mandatario, a cambio de adjudicar obras de infraestructura a determinadas empresas.
	En el lapso de unos 60 minutos, el gobernante peruano anunció este martes la salida de González del gobierno y la juramentación de su reemplazante.
	""En nombre del Gobierno del pueblo, agradezco los servicios prestados a la Nación del señor Mariano González Fernández como ministro del Interior"", anunció Castillo en su cuenta de Twitter.
	González había jurado al cargo el pasado 4 de julio para reemplazar al censurado Dimitri Senmache y fue el sexto ministro del sector del actual Gobierno, que celebrará sus primeros 12 meses el próximo día 28.
	Sin embargo, el futuro de González en el Ejecutivo aparentemente quedó en entredicho hace una semana cuando la Policía Nacional detuvo, por varias horas, al colaborador eficaz de la fiscalía Zamir Villaverde, que ha ofrecido pruebas de la presunta participación del mandatario peruano en una organización criminal enquistada supuestamente en el Ministerio de Transportes y Comunicaciones.
	Villaverde fue detenido en Lima, un día después de salir de prisión preventiva, y mientras es investigado en libertad en el caso abierto contra Castillo y varios ex colaboradores, incluido el exministro Juan Silva, y familiares del jefe de Estado.
	Tras ese incidente, González dijo que pidió la renuncia del jefe de la Dirección Nacional de Inteligencia (Dini) de la Policía Nacional y negó que, desde el Ministerio del Interior, se haya promovido un ""reglaje"" o seguimiento a Villaverde, quien ha asegurado haber entregado miles de dólares a Castillo, a través del exministro Silva, para favorecerlo en adjudicaciones de obras."
https://www.lostiempos.com/actualidad/mundo?page=0,https://www.lostiempos.com/actualidad/mundo/20220719/candidato-repudiado-manifestantes-es-favorito-presidir-sri-lanka,Bolivia,"
          Candidato repudiado por manifestantes es el favorito para presidir Sri Lanka        ","
            Publicado el 19/07/2022 a las 9h08    ","
	Un veterano político respaldado por el partido del depuesto presidente de Sri Lanka, Gotabaya Rajapaksa, es el favorito para sustituirle, tras la designación el martes de tres candidatos para tomar las riendas de este país sumido desde hace meses en una grave crisis económica y política.
	Ranil Wickremesinghe, de 73 años, pasó de ser primer ministro a presidente interino tras la dimisión de Rajapaksa, pero es repudiado por los manifestantes, que obligaron a su predecesor a abandonar el cargo.
	Wickremesinghe cuenta con el respaldo formal del SLPP, el partido de Rajapaksa, el bloque más numeroso en el Parlamento de 225 escaños que elegirá al presidente el miércoles en una votación secreta.
	Su principal oponente será el disidente del SLPP y exministro de Educación, Dullas Alahapperuma, que cuenta con el apoyo de la oposición.
	El tercer candidato es el líder de izquierda Anura Dissanayake. El exjefe del ejército, Sarath Fonseka, no logró obtener el apoyo de los diputados para entrar en la carrera por la presidencia.
	El presidente elegido el miércoles por el Parlamento completará el mandato de Rajapaksa, que termina en noviembre de 2024. 
	Sri Lanka, una isla al sur de India de 22 millones de habitantes, se está quedando sin combustible y enfrenta una escasez de productos básicos.
	Esta crisis se desencadenó por la pandemia de covid-19, que devastó el sector turístico, importante generador de divisas, pero se vio agravada por una serie de malas decisiones políticas.
	El descalabro económico llevó a Sri Lanka a caer en abril pasado en el impago de su deuda externa de 51.000 millones de dólares. Las conversaciones con el Fondo Monetario Internacional (FMI) para obtener un rescate están estancadas a la espera de que la situación política se estabilice.
El candidato de Rajapaksa
	Los tres candidatos fueron designados oficialmente por los diputados durante una sesión que duró menos de 10 minutos en la sede del Parlamento, que estuvo bajo estricta vigilancia.
	Poco antes del anuncio, el principal líder opositor, Sajith Premadasa, retiró su candidatura en favor de la postulación de Alahapperuma, un disidente del oficialismo.
	Un legislador del partido de oposición SJB dijo a la AFP que los dos hombres llegaron a un acuerdo durante la noche del lunes para que Premadasa asuma como primer ministro en caso de que Alahapperuma sea electo presidente el miércoles.
	Tras meses de protestas por la crítica situación, los manifestantes tomaron por asalto el palacio de Rajapaksa el 9 de julio, forzándolo a huir a Maldivas y luego a Singapur, desde donde presentó su dimisión.
	Su sucesor interino Wickremesinghe, que ha sido seis veces primer ministro, renovó el lunes el estado de emergencia en el país de cara a la votación parlamentaria del miércoles.
	Los manifestantes, que sacaron del poder a Rajapaksa, planeaban otra concentración en la capital este martes para exigir también la dimisión de Wickremesinghe.
	Lo consideran un aliado y protector del clan Rajapaksa, que ha dominado la política del país durante varios años.
	Gotabaya Rajapaksa fue el primer jefe de Estado en dimitir desde que su país optó por un régimen presidencial en 1978."
https://www.lostiempos.com/actualidad/mundo?page=0,https://www.lostiempos.com/actualidad/mundo/20220719/fmi-alerta-efectos-devastadores-media-europa-si-rusia-bloquea-gas,Bolivia,"
          FMI alerta de efectos devastadores para media Europa si Rusia bloquea el gas        ","
            Publicado el 19/07/2022 a las 9h21    ","
	El Fondo Monetario Internacional (FMI) alertó este martes ante los efectos devastadores que para las economías de media Europa (especialmente en el Este y el centro del continente) tendría un hipotético cierre total del grifo del gas por parte de Rusia.
	Según un informe publicado por la institución financiera internacional, los países más dependientes podrían ver caer su Producto Interior Bruto (PIB) en torno a un 6 %, mientras que en Alemania -el motor económico de la Unión Europea-, el PIB caería cerca de un 3 % en caso de cierre total.
	En el caso de España, mucho menos dependiente del gas proveniente de Rusia, el efecto sería significativamente más limitado, y la caída del PIB se situaría en torno al 1 %, igual que en el caso de Francia.
	Los países cuyas economías se resentirían más ante un bloqueo total por parte de Rusia -una opción con la que cada vez se especula más- serían, por este orden, Hungría, Eslovaquia, la República Checa, Italia, Alemania, Austria, Rumanía, Eslovenia, Croacia, Polonia y los Países Bajos.
	De estos, los cuatro primeros (Hungría, Eslovaquia, la República Checa e Italia) son los que experimentarían una caída de la actividad de alrededor del 6 % del PIB.
	En todos ellos, salvo en el caso de Italia, existe el riesgo de que si Rusia corta el gas, el suministro caiga hasta en un 40 %, apunta el FMI.
	""Estos impactos podrían verse mitigados si se logran fuentes de suministro alternativas, se alivian los cuellos de botella en las infraestructuras, se promueve el ahorro energético y aumentan los acuerdos de solidaridad entre países para compartir gas"", señaló el informe.
	El FMI también calculó el impacto que tendría para la economía de cada país la pérdida total de acceso al gas de Rusia si los miembros de la Unión Europea respondiesen como un mercado integrado, es decir, repartiéndose el suministro como un solo bloque y en función de las necesidades de cada uno.
	Cuando se usa este escenario hipotético, la caída del PIB en los países más dependientes es significativamente inferior a cuando estos deben hacer frente al cierre del gas por sí mismos, y en lugar de rondar el 6 %, este porcentaje cae hasta una horquilla de entre el 1 y el 3 %.
	Para los países menos dependientes del gas ruso, sin embargo, este segundo escenario es más negativo, puesto que deberían repartir su suministro con el resto de estados miembros, de manera que países como Bulgaria, Irlanda, Grecia o Luxemburgo saldrían perdiendo.
	El gas ruso cubre el 40 % de las necesidades de Europa, que por ahora ha decidido no vetar la compra del combustible a Rusia, aunque el país eslavo ya ha cortado total o parcialmente su suministro a doce Estados miembros.
	En los últimos meses han disminuido en casi un 30 % las entregas a Europa través de Ucrania y en un 60 % las que efectuaba a través del gasoducto Nord Stream, que transporta gas ruso directamente a Alemania por debajo del mar Báltico.
	Este gasoducto se encuentra actualmente en parada técnica por un ""mantenimiento planificado"" y su viabilidad es incierta debido a los problemas en la revisión de turbinas que se ha encontrado Rusia por las sanciones occidentales, según ha advertido la empresa estatal rusa Gazprom.
	El ministro alemán de Economía y Energía, Robert Habeck, manifestó a principios de julio su preocupación por la posibilidad de un ""bloqueo"" completo del oleoducto Nord Stream con la excusa de que se está reparando.
	Por ello, según Habeck, no sería ""súper sorprendente"" si, tras el fin de las labores de puesta a punto, Gazprom afirmara que ""por desgracia ya no lo podemos reactivar, hemos encontrado algo durante el mantenimiento y se acabó"".
	Después de que en junio el flujo de gas que llega a Alemania por el gasoducto se redujese de aproximadamente 167 millones de metros cúbicos de gas diarios a sólo 100 millones, el Gobierno en Berlín declaró el nivel de alerta en el plan de emergencia preparado para un escenario de escasez de gas."
