,link,country,news_outlet,title,date,text
6,https://machalamovil.com/inicio-la-acreditacion-para-brigadas-de-refuerzo-en-incendios-forestales-en-el-ecuador-brif/,ecuador,machalamovil,Inició la Acreditación para Brigadas de Refuerzo en Incendios Forestales en el Ecuador- BRIF,2022-07-21,"Luego de un trabajo coordinado por el Servicio Nacional de Gestión de Riesgos y Emergencias (SNGRE) con especialistas en el control y liquidación de...

Luego de un trabajo coordinado por el Servicio Nacional de Gestión de Riesgos y Emergencias (SNGRE) con especialistas en el control y liquidación de Incendios Forestales de los diferentes Cuerpos de Bomberos del País, se desarrolló la Guía de Acreditación para Brigadas de Refuerzo en Incendios Forestales en el Ecuador- BRIF, la cual tiene como objetivo proporcionar al país, brigadas especializadas, acreditadas para el control y la liquidación de los incendios forestales cuando sea superada la capacidad de respuesta local, con el fin de salvaguardar la seguridad humana y los recursos naturales.

En horas de la mañana en la ciudad de Piñas, se dio inicio al ejercicio de acreditación BRIF que se llevará a cabo los días 19, 20, 21 de julio, contará con la presencia de los Cuerpos de Bomberos de las diferentes provincias, también tendrá personal de observadores para garantizar un proceso técnico sin fallas.

40 bomberos combatiente del Cuerpo de Bomberos Municipal de Machala se han preparado arduamente durante todo el año para este ejercicio, el cual busca la segunda acreditación Brif de El Oro, demostrando sus capacidades de respuesta inmediata para la atención de emergencias de origen natural o antrópicas.

Crnel. (B). Ing. Javier Astudillo Gómez, Jefe del cuerpo de Bomberos Municipal de Machala, mencionó lo siguiente “ Dios nos dio el privilegio de ser los administradores de cada recurso natural de este planeta, y es nuestra responsabilidad protegerlos” quiero que sepan que este grupo forestal; compuesto por valientes y desinteresados hombres y mujeres orenses, pero a la vez temerarios, amigos y protectores de la naturaleza, darán lo mejor de sí, en cada entrenamiento, en cada emergencia que se presente”"
14,https://machalamovil.com/une-responsabiliza-a-policia-de-gas-lacrimogeno-en-unidad-educativa-en-cotopaxi/,ecuador,machalamovil,UNE responsabiliza a Policía de gas lacrimógeno en unidad educativa en Cotopaxi,2022-06-15,"El rector de la unidad educativa Mariscal Sucre del cantón Saquisilí, en la provincia de Cotopaxi, fue separado debido a que no acató la...

El rector de la unidad educativa Mariscal Sucre del cantón Saquisilí, en la provincia de Cotopaxi, fue separado debido a que no acató la disposición del Ministerio de Educación de la suspensión de clases presenciales y que se acojan a la modalidad a distancia y por problemas suscitados.

En los exteriores de esa unidad educativa se habrían presentado enfrentamientos por las movilizaciones convocadas por la Confederación de Nacionalidades Indígenas del Ecuador (Conaie).

En redes sociales se difundieron videos en los que se ve que alumnos de esa institución, este miércoles, 15 de junio de 2022, salen a precipitada carrera del establecimiento.

La Unión Nacional de Educadores (UNE), en su cuenta de Twitter, mencionó que hubo estudiantes y docentes afectados por cartuchos de gas disparados por la Policía dentro de ese plantel.

En un video se observa en un patio la presencia de gas, pero la Policía rechazó el intento de responsabilizarla de ese hecho, que según esa entidad fue cometido por manifestantes.

El Ministerio de Educación agregó que los estudiantes fueron evacuados y entregados a sus representantes y que no hubo agresiones."
18,https://machalamovil.com/fundacion-fedes-celebro-9-anos-de-construir-comunidades-sostenibles/,ecuador,machalamovil,Fundación FEDES celebró 9 años de construir comunidades sostenibles,2022-06-16,"Este jueves 16 de junio, la Universidad Técnica Particular de Loja celebró el noveno aniversario de la creación de la Fundación para el Desarrollo...

Este jueves 16 de junio, la Universidad Técnica Particular de Loja celebró el noveno aniversario de la creación de la Fundación para el Desarrollo Empresarial y Social (FEDES). Con motivo de este aniversario, la UTPL desarrolló una jornada de actividades para reconocer la labor de la institución y sus diversas iniciativas para lograr comunidades sostenibles desde los ámbitos: económico, social, humano y ambiental.

El trabajo de FEDES va más allá de ser un implementador de iniciativas. Sus actividades han permitido fortalecer la relación de la academia con la comunidad. Estos logros motivaron la realización de un conversatorio, denominado “Visiones sobre la vinculación con el entorno”, que se desarrolló en el auditorio Pío Jaramillo Alvarado, donde participaron representantes de UTPL, FEDES, autoridades locales y organizaciones aliadas.

Santiago Acosta Aide, rector de la UTPL, destacó la labor de la Fundación y su aporte al cumplimiento de los Objetivos de Desarrollo Sostenible. Señaló que, a través de FEDES, la universidad ha logrado cumplir con algunos propósitos, como la transferencia del conocimiento y contribuir a la prosperidad nacional.

En este sentido, la viceprefecta de Loja, María José Coronel, felicitó a FEDES y a la UTPL por esta importante celebración. Además, reconoció “el rol que la UTPL juega en la transformación de la sociedad y su vinculación que va más allá del ámbito educativo”. Por otra parte, Ana Santos Delagado, directora general de Vinculación de la UTPL, señaló que el trabajo articulado de las empresas y marcas que tiene la universidad ha permitido amplificar su propuesta de relacionamiento con la comunidad.

Durante el acto, el director ejecutivo de FEDES, Roberto Beltrán Zambrano, reconocimientos a colaboradores de FEDES por sus 5 años de servicio. Adicionalmente, se realizó el anuncio del “I Concurso Transformando Comunidades”.

Posterior a estas actividades, se desarrolló una Casa Abierta, donde fueron presentados los proyectos administrados por FEDES, como: el Sinfín UTPL, la Escuela de Operadores Profesionales, el Centro de Innovación y Emprendimiento Prendho, CIMA y CERART."
22,https://machalamovil.com/lo-persiguieron-varias-cuadras-hasta-que-liquidaron-a-un-guardia-en-machala/,ecuador,machalamovil,Lo persiguieron varias cuadras hasta que liquidaron a un guardia en Machala,2022-06-16,"Un muerto y un herido es el resultado de una balacera que se registró esta tarde en las inmediaciones del barrio 24 de septiembre,...

Un muerto y un herido es el resultado de una balacera que se registró esta tarde en las inmediaciones del barrio 24 de septiembre, al este de Machala. Sujetos a bordo de un auto lo habrían perseguido hasta alcanzarlos.

La víctima fue identificada como Fidel Demetrio Saldarreaga Saldarreaga de 31 años, su acompañante resultó herido con varios impactos de bala y fue trasladado a una casa de salud. En la escena del crimen se fijaron al menos unos ocho indicios balísticos.

“Escuchamos más de 15 balazos y todos tuvieron que esconderse, este es un lugar muy peligroso por los robos y asaltos. El hombre que murió es un guardia que trabajaba en la Avenida Ferroviaria”, dijo uno de los moradores del sector.

Los agentes de la Policía realizaron las diligencias para levantar el cuerpo y luego el traslado al Centro Forense, además de realizaron investigaciones para tratar de identificar a los presuntos responsables de este nuevo hecho violento.

Las cifra de muertes violentas ascienden a 115 en lo que va de este año, según los registros de la Policía de la provincia de El Oro."
28,https://machalamovil.com/roban-a-guardia-de-seguridad-se-le-llevaron-su-motocicleta/,ecuador,machalamovil,Roban a guardia de seguridad se le llevaron su motocicleta,2022-06-03,"Mientras realizaba guardia en el centro comercial “Plaza Azul”, del cantón Santa Rosa, un guardia de seguridad fue sorprendido por delincuentes en poder de...

Mientras realizaba guardia en el centro comercial “Plaza Azul”, del cantón Santa Rosa, un guardia de seguridad fue sorprendido por delincuentes en poder de armas de fuego.

El hecho se registró pasadas las 22:30 del jueves 02 de junio y quedó grabado en cámaras de videovigilancia.

En las imágenes se observa cómo los sujetos se acercan al guardia y a otra persona que se encontraba junto a él, y bajo amenazas de muerte les piden sus pertenencias.

Finalmente los delincuentes lo bajaron de la motocicleta y escaparon del lugar en rumbo desconocido."
34,https://machalamovil.com/gobernadora-aristeguieta-lidera-busqueda-de-carlitos-con-mas-de-150-personas-en-las-lajas/,ecuador,machalamovil,Gobernadora Aristeguieta lidera búsqueda de Carlitos con más de 150 personas en Las Lajas,2022-06-03,"Más de 150 hombres se desplegaron en la zona El Tigre del cantón Las Lajas, para continuar con la búsqueda de Carlitos, un joven...

Más de 150 hombres se desplegaron en la zona El Tigre del cantón Las Lajas, para continuar con la búsqueda de Carlitos, un joven de 16 años, con discapacidad intelectual.

La gobernadora del El Oro encargada, Mirtha Aristeguieta lideró las acciones, movilizando personal de Fuerzas Armadas, y con apoyo del Cuerpo de Bomberos de varios cantones de El Oro, con sus unidades especializadas de búsqueda y rescate.

“Gracias por estar aquí. Es muy importante para la familia de Carlitos, que él retorne a casa, por eso aplaudo su predisposición para contribuir con la búsqueda, pues una vida siempre será valiosa, por sobre toda situación”, mencionó Aristeguita.

En total se distribuyeron 14 grupos de búsqueda, liderados por habitantes de la zona, quienes ‘peinaron’ las áreas de manera sigilosa para ubicar a Carlitos.

La desaparición fue reportada el sábado 28 de mayo, iniciando el rastreo con personal bomberil de la localidad, para después con la coordinación de la jefa política de Las Lajas, Lorena Morocho, se trasladaron 60 elementos militares.

La tarde de este jueves 2 de junio, la Gobernadora Aristeguieta citó al COE Provincial para socializar el trabajo ejecutado, e incrementar la logística, el cual se vio reflejado en el reinicio de las labores de búsqueda con bomberos, militares, policías y voluntarios.

Se indicó que se utilizarán drones para realizar sobrevuelo.

“Estamos en permanente contacto con el Puesto de Mando Unificado y con los familiares. Hacemos fuerza y oraciones”, mencionó Aristeguieta."
44,https://machalamovil.com/la-onu-denuncia-acoso-y-detenciones-arbitrarias-de-periodistas-en-afganistan/,ecuador,machalamovil,La ONU denuncia acoso y detenciones arbitrarias de periodistas en Afganistán,2022-06-01,"La misión de las Naciones Unidas en Afganistán (UNAMA) denunció este miércoles el acoso y las detenciones arbitrarias a las que el Gobierno talibán...

La misión de las Naciones Unidas en Afganistán (UNAMA) denunció este miércoles el acoso y las detenciones arbitrarias a las que el Gobierno talibán somete a los periodistas en Afganistán, después de que varios de ellos fueran arrestados la semana pasada, y pidió la liberación de los que aún siguen presos.

«Continúa el acoso y la violencia contra periodistas en Afganistán. La UNAMA reitera su llamado a los talibanes para que liberen a todos los trabajadores de los medios detenidos y pongan fin a las medidas draconianas, incluidas las detenciones arbitrarias y las amenazas contra periodistas y la prensa», advirtió la misión de la ONU en Twitter.

La UNAMA replicó así a la condena de la oficina asiática del Comité para la Protección de los Periodistas (CPJ, en inglés), que pidió investigar la detención de un periodista afgano y de su conductor mientras cubrían una protesta de mujeres el domingo, y el arresto de otros dos periodistas el 24 de mayo, que continúan aparentemente bajo custodia policial.

El periodista afgano Roman Karimi fue detenido el pasado domingo cuando se dirigía a cubrir una protesta de mujeres en Kabul contra el aumento de la pobreza y el desempleo en Afganistán desde la llegada de los talibanes, una manifestación que fue dispersada con violencia por las fuerzas de seguridad.

“Llamé a mi conductor para que me llevara al área de la protesta. Al terminar la llamada telefónica la inteligencia talibán me arrestó y me torturó a pesar de que mostré mi carnet de identidad y les dije que soy periodista, pero me advirtieron que me torturarían más”, reveló a Efe Karimi.

El jefe de la radio en la que trabajaba Karimi, Gul Mohammad Gran, protestó este miércoles por la detención de su compañero, asegurando a Efe que tanto el periodista como su conductor “permanecieron arrestados por las fuerzas de seguridad del Gobierno talibán durante más de cinco horas”."
48,https://machalamovil.com/desarticularon-banda-dedicada-a-la-exportacion-de-alcaloides-en-cajas-de-frutas-agricolas/,ecuador,machalamovil,Desarticularon banda dedicada a la exportación de alcaloides en cajas de frutas agrícolas,2022-06-01,"La madrugada del miércoles 1 de junio, se realizaron varios allanamientos de inmuebles en los cantones de Machala, Pasaje y El Guabo, del cual...

La madrugada del miércoles 1 de junio, se realizaron varios allanamientos de inmuebles en los cantones de Machala, Pasaje y El Guabo, del cual se desarticuló un grupo delictivo que se dedicaría a la exportación de sustancias sujetas a fiscalización dentro de cajas de productos agrícolas con destinos a Chile y Estados Unidos.

Luego de los allanamientos fueron capturados de siete personas de nacionalidad ecuatoriana, quienes no registran antecedentes penales, según la investigación se determinó su participación dentro de la organización delictiva.

El coronel Galo Erazo, jefe del Distrito Machala de la Policía, en su intervención dijo que, “los puertos de salida (de la droga) eran los que están en Guayaquil y Puerto Bolívar, desde donde se hacia el envío de las sustancias a través de la exportación de cajas con fruta de banano”.

Entre los indicios, se encontraron 21 municiones, 10 dispositivos celulares y 1 alimentadora, que habrían sido utilizados por los integrantes de la organización, se estaría confirmando que dicho grupo delictivo, tendrían participación en anteriores hechos delictivos suscitados en la ciudad de Machala.

El mayor Javier Granda, jefe de la Unidad de Investigación de Delitos Transnacionales, comentó que, “pudimos identificar que esta estructura relacionándose con personas de nacionalidad chilena, estaban realizando la exportación de productos agrícolas como fachada, pero en realidad estaban exportando sustancias estupefacientes sujetas a fiscalización”.

“Luego de haber materializado el ilícito en otros países, hemos recabado la información, que a través de la Fiscalía General del Estado, poder importar esta información, con el objetivo de ya ingresar a nuestros procesos investigativos como pruebas suficientes para dotar a la administración de justica” agregó Granda.

La audiencia de formulación de cargos en contra de los detenidos se realizará en las próximas horas para determinar su situación legal, agregaron los oficiales de la Policía."
50,https://machalamovil.com/estudiante-de-colegio-murio-un-dia-despues-de-participar-en-una-pelea-callejera-en-el-empalme/,ecuador,machalamovil,Estudiante de colegio murió un día después de participar en una pelea callejera en El Empalme,2022-05-31,"Un día después de participar en una pelea callejera en los exteriores de una Unidad Educativa ubicada en el cantón El Empalme, se confirmó...

Un día después de participar en una pelea callejera en los exteriores de una Unidad Educativa ubicada en el cantón El Empalme, se confirmó la muerte del estudiante Elkin Moreira.

Según familiares, el hecho se registró después de la jornada escolar del pasado lunes 30 de mayo, cuando dos jóvenes se citaron fuera del colegio para enfrentarse a puños.

Compañeros de Elkin, indicaron que, en medio de los golpes, su contrincante agarro una piedra y le dio varios golpes en la cabeza, al ver inconsciente y ensangrentado al menor de edad se dio a la fuga.

El adolescente fue trasladado de urgencia hasta una casa de salud, debido a la gravedad de sus heridas fue llevado hasta un hospital de Guayaquil, donde luego de varias horas se confirmo su muerte.

Personal de la Policía Nacional realiza las investigaciones pertinentes, para determinar responsabilidades en este caso que enluta a una familia del recinto Murucumba del cantón El Empalme, quienes claman a través de las redes sociales por justicia."
52,https://machalamovil.com/iba-a-recoger-carro-en-garaje-y-sicarios-lo-interceptaron-para-balearlo/,ecuador,machalamovil,Iba a recoger carro en garaje y sicarios lo interceptaron para balearlo,2022-06-01,"Cerca de las 05:30 de este miércoles, 1 de junio, un hombre que iba a un garaje a retirar su vehículo fue baleado en...

Cerca de las 05:30 de este miércoles, 1 de junio, un hombre que iba a un garaje a retirar su vehículo fue baleado en Pascuales, en las afueras de Guayaquil.

El conductor de 42 años fue interceptado en el camino. Los vecinos al menos escucharon seis disparos.

Sin oportunidad para correr, el hombre se desplomó en la vereda.

La Policía llegó al sitio, pero el hombre ya estaba sin vida. Al sitio llegaron familiares, pues la víctima vivía a pocas calles del lugar del asesinato. Fue identificado como Bolívar Soriano.

El sitio fue acordonado por la Policía para recopilar los indicios balísticos. La Policía indaga si se trató de un asalto o una muerte selectiva por el número de balas que recibió la víctima.

Una mujer que se identificó como familia dijo que el hombre había visto un robo cerca de su casa y cree que fue por represalias.

Pascuales es parte de las parroquias de Guayaquil que están con toque de queda ante la inseguridad.

En la Zona 8, en la que se incluye a Guayaquil, ya van más de 580 asesinatos en lo que va del año."
