,Unnamed: 0.1,link,country,news_outlet,title,date,text
0,0,https://elmundo.hn/copeco-declara-alerta-verde-para-11-departamentos-de-honduras/,honduras,elmundo,Copeco declara alerta verde para 11 departamentos de Honduras,2022-06-11,"Tegucigalpa – El Comité de Alertas de la Comisión Permanente de Contingencias (COPECO), emitió una alerta verde por 48 horas para 11 departamentos del país, debido a precipitaciones dispersas que estaría dejando la convergencia de vientos y humedad proveniente desde el Mar Caribe y el océano Pacífico.

Los departamentos que se encuentran bajo alerta verde son: Copán, Ocotepeque, Lempira, Intibucá, La Paz, Francisco Morazán, Valle y Choluteca y se suman a ella Cortés, Santa Bárbara y Comayagua.

Los acumulados de lluvia pronosticados por los modelos numéricos de predicción del tiempo serán en occidente de 10 a 20 milímetros (mm) y máximos de 50 mm; en el suroccidente de 20 a 40 mm y máximos de 60 mm; en el suroriente de 10 a 20 mm y máximos de 50 mm y en el sur de 20 a 30 mm con máximos de hasta de 60 mm.

En ese sentido, se recomienda a la población de los departamentos alertados a tomar las precauciones y estar pendientes de los boletines que emita Copeco y las autoridades locales.

Igualmente, se recomienda no cruzar ríos, riachuelos, vados y quebradas con alto caudal. Además de mantenerse vigilantes de las aguas que bajan de las montañas, especialmente donde habrá mayores precipitaciones."
1,1,https://elmundo.hn/detencion-judicial-a-hombre-que-mato-a-su-pareja-e-hija-en-santa-barbara/,honduras,elmundo,Detención judicial a hombre que mató a su pareja e hija en Santa Bárbara,2022-07-06,"Santa Bárbara. – Una jueza de letras en audiencia de declaración de imputados dictó este miércoles la medida de detención judicial a un hombre por quitarle la vida a su pareja e hija en el occidente de Honduras.

El imputado responde al nombre de Adalid Sagastume García, acusado de dos delitos de asesinato en perjuicio de Sindy Enamorado Fajado y Naomi Yamileth Barahona Enamorado.

La resolución de la jueza ordena que el imputado cumpla la detención judicial en el centro penitenciario del municipio de El Progreso, departamento de Yoro.

La audiencia inicial fue programada para el viernes 8 de julio a las 9:00 de la mañana.

El hecho ocurrió el sábado en hora del mediodía en la aldea Buenos Aires en el municipio de San Luis en el departamento de Santa Bárbara, occidente de Honduras.

El imputado atacó con un machete a la madre, pero en el acto la menor también resultó herida, falleciendo ambas de manera inmediata."
2,2,https://elmundo.hn/el-85-por-ciento-de-los-hondurenos-deportados-vuelve-a-migrar-segun-accion-menonita/,honduras,elmundo,"El 85 por ciento de los hondureños deportados vuelve a migrar, según Acción Menonita",2022-07-01,"Tegucigalpa – El director ejecutivo de Comisión Acción Social Menonita (CASM), Nelson García, reveló este viernes que el 85 por ciento de los hondureños deportados vuelven a migrar y la mayoría lo hace prácticamente de inmediato.

García refirió que los flujos migratorios de Honduras son un efecto y no una causa.

La migración es un efecto de causas estructurales como la falta de empleo y de generación de oportunidades, destacó.

Indicó que la Comisión Acción Social Menonita tiene presencia en las entradas y salidas del país, y se ha constatado que un 85 por ciento de los deportados por la vía terrestre y área vuelven a integrar las caravanas.

Relató que lograron documentar el caso de una familia hondureña que intentó en 13 ocasiones la emigración irregular.

García señaló que de momento desconocen el paradero de la familia, pero presumen que logró cruzar las fronteras y llegar a Estados Unidos.

De acuerdo con cifras del Observatorio Consular y Migratorio de Honduras, un total de 37 mil 34 hondureños fueron deportados desde México, Estados Unidos, Europa y Centroamérica en el primer semestre del año, lo que representa un 58 por ciento más, en comparación con el mismo periodo del 2021. La información agrega que la deportación de menores se incrementó en un 55 por ciento.

El director ejecutivo del CASM, lamentó que gran parte de la población juvenil de Honduras no tiene otra opción que emigrar, una decisión que puede terminar en la muerte, en relación a la tragedia de San Antonio, Texas, donde 53 migrantes (cinco hondureños) perdieron la vida, luego de ser abandonados en el interior de un tráiler."
3,3,https://elmundo.hn/policia-militar-sera-reorientada-para-enfrentar-el-narcotrafico-anuncia-ministro-de-defensa/,honduras,elmundo,"Policía Militar será reorientada para enfrentar el narcotráfico, anuncia ministro de Defensa",2022-06-24,"Tegucigalpa. – El ministro de Defensa, José Manuel Zelaya, reveló que de momento revisa las funciones de la Policía Militar de Orden Público (PMOP) para orientarlas a la lucha contra el narcotráfico.

La PMOP debe estar enfrente en la lucha contra el narcotráfico y se está reorientando las funciones que le atribuyó la administración anterior, apuntó.

Zelaya participó este jueves en el cierre de la competencia internacional de las Fuerzas Armadas, donde también estuvo la presidenta Xiomara Castro.

“Estamos viendo cómo reperfilamos las funciones que le dieron a la Policía Militar en la administración anterior para que vaya de frente en la lucha contra este flagelo”, explicó.

Por otro lado, aseveró que las FFAA está en la disposición total de trabajar en la política de seguridad.

Para la defensa de la soberanía, las Fuerzas Armadas están listos para afrontar cualquier amenaza, aseveró.

Además, dejó saber que la Marina Mercante junto a la Fuerza Naval buscan acuerdos con Nicaragua y El Salvador, para que los pescadores tengan acceso en el Golfo de Fonseca.

De lograr los acuerdos, los pescadores hondureños no serán perjudicados por la barrera, las tropas nicaragüenses y salvadoreños, y viceversa, confió."
4,4,https://elmundo.hn/decretar-una-emergencia-humanitaria-ante-crisis-migratoria-pide-el-casm/,honduras,elmundo,"Decretar una emergencia humanitaria ante crisis migratoria, pide el CASM",2022-07-05,"Tegucigalpa. – El miembro de la Comisión de Acción Social Menonita (CASM), César Ramos, señaló este martes que es oportuno que el gobierno declare una emergencia humanitaria por la crisis migratoria existente en Honduras.

Ramos arguyó que el fenómeno migratorio no se está atendiendo de manera muy reactiva en el país centroamericano y más bien es lamentable esperar a que pasen las tragedias, en relación a la tragedia de San Antonio, Texas.

“Esta crisis migratoria debe convocarnos a una emergencia humanitaria que permita activar los entes de respuesta del Gobierno y la sociedad civil de manera ordenada y estructurada, para que podamos evitar tragedias y no solo reaccionar al hecho cuando ya no se puede hacer nada”, declaró.

Indicó que es necesario promover una estrategia de intervención con Guatemala, México y Estados Unidos, para enfrentar el fenómeno migratorio en la región, pero de una manera más enfocada.

“Uno escucha el discurso oficial de las autoridades de estos países y pareciera que todo está bien en materia de respeto a los derechos humanos, sabemos que de fondo el enfoque en que se sustenta el abordaje de la migración irregular es en seguridad nacional basado en doctrina de seguridad nacional”, comentó.

El representante del CASM alertó que, de no cambiar el discurso, continuará la criminalización para los migrantes como delincuentes y personas no gratas.

“Mientras no se cambie por un enfoque de derecho, seguiremos viendo represiones con abuso de autoridad y lastimando la integridad física de los migrantes”, puntualizó."
5,5,https://elmundo.hn/prueba-cientifica-son-necesarias-para-dar-respuesta-sobre-muerte-de-joven-barrista-indica-ministra-de-ddhh/,honduras,elmundo,"Prueba científica son necesarias para dar respuesta sobre muerte de joven barrista, indica ministra de DDHH",2022-06-03,"San Pedro Sula. – La ministra de Derechos Humanos (DDHH), Natalie Roque, indicó que las pruebas científicas y pericias son necesarias para dar respuesta sobre la muerte del barrista, Wilson Pérez, quien pateó a una miembro de la Policía Nacional.

Roque señaló que tendrá una reunión con la Policía Nacional, específicamente con el área que está encargada del control de la seguridad de los eventos deportivos, de las cual “se ve un uso desproporcional y abusivo de la fuerza por parte de elementos policiales”.

“Nuestra misión y nuestra misión desde la Secretaría y el compromiso como gobierno, es que no haya represión, que no haya violencia por parte de los cuerpos policiales de la seguridad del Estado”, manifestó la funcionaria.

La funcionaria declaró que dicha institución tiene el compromiso de acompañar y establecer protocolos para la investigación de este tipo de muertes, en las que hay el involucramiento de las fuerzas de seguridad.

La muerte del joven que agredió a una mujer policía en la final del fútbol hondureño en el Estadio Olímpico Metropolitano de San Pedro Sula, se convirtió en un velo de misterio, teniendo dos versiones en juego, por lo que la población hondureña se encuentra sumergida en incertidumbre.

El director de la Policía Nacional de Honduras, Gustavo Sánchez, aseguró que la muerte del aficionado del Real España, y agresor de una subinspectora, será investigada por la Dirección Policial de Investigaciones (DPI), agentes de la Agencia Técnica de Investigación Criminal (ATIC), así como la participación de la Dirección de Asuntos Disciplinarios Policiales (Didadpol)."
6,6,https://elmundo.hn/obispos-hondurenos-respaldan-instalacion-de-una-cicih-por-al-menos-ocho-anos/,honduras,elmundo,Obispos hondureños respaldan instalación de una CICIH por al menos ocho años,2022-05-14,"San Pedro Sula. – El presidente de la Conferencia Episcopal de Honduras (CEH), y obispo de la diócesis de San Pedro Sula, monseñor Ángel Garachana, declaró este viernes que los obispos respaldan la instalación de una Comisión Internacional Contra la Corrupción y la Impunidad en Honduras (CICIH) por un periodo de ocho años.

Garachana refirió que en Honduras hay mucho que investigar y cuatro años no serían suficientes.

Por tal motivo, reveló que los obispos han conversado y apoyan la instalación de la CICIH por al menos ocho años.

No obstante, comentó que otro de los objetivos es fortalecer los propios órganos de justicia del país, a fin de ya no necesitar la CICIH.

Reveló que un grupo de obispos ya sostuvo una reunión con la Misión Técnica de Evaluación de la Organización de Naciones Unidas (ONU) que se encuentra en Honduras, en antesala a la instalación de la CICIH.

“La realidad de la corrupción, impunidad y del blindaje contra la corrupción que se ha dado es tan profunda que nosotros solos como país no podemos afrontarla”, razonó.

Por lo anterior se requiere la ayuda internacional, pero hasta que se consolide el sistema judicial de Honduras, sostuvo.

“Los obispos de Honduras hemos expresado nuestro apoyo a la instalación de una CICIH”, enfatizó el prelado.

Una misión exploratoria de las Naciones Unidas arribó el pasado domingo a Honduras, para reunirse con diversos sectores de la nación, conocer solicitudes y las condiciones en que se instalará una misión anticorrupción en el país centroamericano."
7,7,https://elmundo.hn/cna-mas-de-476-millones-de-lempiras-en-concepto-de-cuentas-por-cobrar-es-la-deuda-de-banasupro/,honduras,elmundo,CNA: “Más de 476 millones de lempiras en concepto de cuentas por cobrar es la deuda de Banasupro”,2022-04-29,"Tegucigalpa – El Consejo Nacional Anticorrupción (CNA) reveló este jueves una nueva línea de investigación sobre la Suplidora Nacional de Productos Básicos (Banasupro) en la que los estados financieros indican inconsistencias en el manejo de fondos públicos.

En ese sentido, más de 476 millones de lempiras en concepto de cuentas por cobrar es la deuda de Banasupro, así como que explican que no hay una garantía de recuperar millonaria suma.

“Del CNA revela las deficiencias administrativas y contables desde 2018, así como transacciones irregulares a tres empresas simuladas que recibieron 740 mil lempiras en un proceso desarrollado en menos de cinco minutos”, indica el documento.

En su investigación, recabaron que durante 2020 y 2021, se usó esta institución para apadrinar campañas políticas, esto utilizando “bolsas solidarias” como un anzuelo para la compra de votos.

“Este asistencialismo desmedido provocó el desabastecimiento de los almacenes y puntos de venta, afectando a 38 de 96 centros de venta con registros negativos en sus inventarios”, concluye la investigación del CNA.

La directora ejecutiva del CNA, Gabriela Castellanos y el jefe de la unidad de investigación del organismo, arguyeron que esta mala gestión en Banasupro afecta directamente a la población de más bajo ingreso, pues le habrían arrebatado de la boca todos los alimentos de la canasta básica.

Todo lo anterior desembocó en que 14 de los 18 departamentos a nivel nacional tienen al menos un centro de venta cerrado; de 150 centros de venta registrados hasta finales de 2021, 38 tienen saldos negativos “proyectando un registro negativo de más de 47 millones 696 mil 394.28 lempiras. Por tal razón, denotan que de 103 centros de venta solo operan 67.

Como conclusión, informaron que remitieron esta denuncia ante el Ministerio Público y ellos serán los responsables de proceder contra responsables."
8,8,https://elmundo.hn/ataques-de-perros-pitbull-dejan-una-nina-muerta-y-otro-menor-herido-en-lempira-e-islas-de-la-bahia/,honduras,elmundo,Ataques de perros pitbull dejan una niña muerta y otro menor herido en Lempira e Islas de la Bahía,2022-06-09,"Tegucigalpa. – Una niña falleció luego de sufrir el feroz ataque de un perro pitbull americano el cual con sus mordidas la hirió de gravedad en el barrio Las Delicias de Lepaera, Lempira, occidente de Honduras.

La pequeña fue identificada como Alison Naomi Argueta, de siete años de edad y quien era hija única.

Testigos manifestaron que el perro la atacó en la casa y después de apartárselo, la llevaron a un centro asistencial, no obstante, las lesiones provocaron su muerte.

En redes sociales, usuarios lamentaron el incidente y pidieron que se prohibiera tener como mascota esta raza de caninos.

Otro caso

Igualmente, más temprano, un niño sufrió el ataque de otro perro pitbull que le dejó severas heridas en el rostro en la comunidad de Diamond Rock, municipio José Santos Guardiola, Islas de la Bahía, Caribe de Honduras.

Al pequeño lo trasladaron a un hospital donde lo atendieron y suturaron los cortes que hicieron las mordeduras del animal.

La semana anterior un pitbull también atacó un menor a quien le amputó su parte íntima en Danlí, El Paraíso, lo que genera en la población una preocupación debido a la frecuencia con que suceden estos hechos."
9,9,https://elmundo.hn/csj-concede-extradicion-de-juan-carlos-el-tigre-bonilla/,honduras,elmundo,CSJ concede extradición de Juan Carlos “El Tigre” Bonilla,2022-04-09,"Tegucigalpa – Un juez de Extradición de Primera Instancia, luego de valorar los medios de prueba presentados por parte del Estado requirente y la defensa técnica, concedió este viernes la solicitud de extradición que involucra a el exdirector de la Policía Nacional, Juan Carlos “El Tigre” Bonilla, quién es requerido por la Corte del Distrito Sur de New York.

“El Tigre” Bonilla, tuvo este viernes la segunda audiencia de su proceso de extradición hacia Estados Unidos, país que lo requiere por delitos relacionados al narcotráfico.

Se informó que la audiencia inició con la presentación y evacuación de los medios de prueba del Estado solicitante (Estados Unidos) ante el juez de extradición de primera instancia y los medios de prueba de la defensa del exdirector policial.

Según la justicia norteamericana, “El Tigre” Bonilla abusó de su cargo para violar la ley y “supervisó el envío de múltiples toneladas de cocaína hacia Estados Unidos, usó ametralladoras y otras armas para conseguirlo, y participó en violencia extrema, incluyendo el asesinato de un traficante rival para impulsar la conspiración”.

Por su parte, el exdirector de la Policía Nacional negó las acusaciones y dijo estar dispuesto a presentarse a cualquier parte para demostrar su inocencia.

Algunos expertos en derecho prevén que, por dilatorias en el proceso de extradición del expresidente, Juan Orlando Hernández, este terminará viajando en el mismo avión junto al exdirector de la Policía Nacional, Juan Carlos “El Tigre” Bonilla para enfrentarse ambos a la justicia norteamericana.

A Bonilla Valladares, se le presentaron en esa Corte de Estados Unidos tres cargos; Cargo 1: Participar en la conspiración para importar una sustancia controlada a Estados Unidos y dentro del territorio aduanero de los Estados Unidos de un lugar fuera del mismo. Manufacturar, distribuir una sustancia controlada, con la intención v conocimiento que dicha sustancia seria ilegalmente importada dentro de los Estados Unidos y en las aguas dentro de una distancia de las 12 millas de la costa de Estados Unidos, manufacturar, distribuir y poseer una sustancia controlada a bordo de una aeronave registrada en los Estados Unidos.

Cargo 2: Usar o portar armas de fuego para promover, o poseer armas de fuego durante y en relación a la conspiración por importación de narcóticos imputados en el primer cargo de la demanda y por instigar y asistir al mismo.

Cargo 3: Participar en la conspiración para usar y portar armas de fuego para promover o poseer armas de fuego durante y en relación a la conspiración para importar narcóticos imputados en el primer cargo.

Una vez que se ha dictado la resolución por parte del Juez de Extradición de Primera Instancia, solo se podrá interponer el recurso de apelación, el cuál en caso de ser presentado será conocido y resuelto por el pleno de magistrados de la Corte Suprema de Justicia (CSJ), por lo cual su defensa técnica tiene tres días para hacer uso de la garantía de segunda instancia, informó el Poder Judicial.

Bonilla Valladares, se seguirá manteniendo con la medida de detención provisional, misma que viene cumpliendo desde el pasado mes de marzo, en el Primer Batallón de Infantería."
