,link,country,news_outlet,title,date,text
0,https://www.capitalmexico.com.mx/viral/en-edificio-del-fondo-de-cultura-economica-roban-cajero-automatico/,mexico,capitalmexico,En edificio del Fondo de Cultura Económica roban cajero automático,2022-07-14,"En edificio del Fondo de Cultura Económica roban cajero automático

Hasta el momento no está cuantificado cuánto dinero se robaron los delincuentes tras llevarse el cajero automático.

Esta madrugada, se reportó el robo de un cajero automático en las oficinas centrales del Fondo de Cultura Económica (FCE), al sur de la Ciudad de México.

Los hechos se registraron en el inmueble ubicado en la carretera Picacho-Ajusco número 227 en la colonia Ampliación Fuentes del Pedregal, alcaldía Tlalpan.

Según los primeros reportes policíacos, los delincuentes robaron un cajero automático y durante el atraco golpearon al guardia de seguridad del lugar.

De acuerdo con los reportes, sujetos llegaron en una camioneta, sometieron al guardia de seguridad e ingresaron al área de cajeros ubicada en la planta baja del edificio del Fondo de Cultura Económica.

Posteriormente, desprendieron el cajero automático y lo subieron al vehículo para retirarse del lugar en una camioneta; sin embargo, aún no ha sido revelado el monto del atraco.

Alrededor de las 6:00 de la mañana, los empleados se percataron del robo y dieron aviso a las autoridades. Los reportes indican que cuatro personas participaron en el crimen.

Por este hecho se desplegó un operativo importante, aunque hasta el momento no se ha reportado alguna detención. Al lugar acudieron policías sectoriales para tomar nota de los hechos.

Por su parte, la Fiscalía General de Justicia de la Ciudad de México inició las investigaciones correspondientes."
0,https://www.capitalmexico.com.mx/nacional/260-mil-visas-para-mexico-esteban-moctezuma/,mexico,capitalmexico,260 mil visas para México: Esteban Moctezuma,2022-07-14,"260 mil visas para México: Esteban Moctezuma

Estados Unidos podría otorgar hasta 260 mil visas para trabajadores temporales agrícolas mexicanos, informó Esteban Moctezuma Barragán, embajador de México en EUA.

En entrevista en el aeropuerto de Washington Dulles antes de viajar a la ciudad de México, hizo un balance del encuentro bilateral entre los presidentes de México, Andrés Manuel López Obrador, y de Estados Unidos, Joe Biden, que calificó de “bastante exitoso”.

Dijo que se incrementará el número de visas para los trabajadores temporales, en especial en el sector agrícola que es donde hay más demanda hay.

“Hay dos visas de trabajo temporal, una se llaman H2A que son fundamentalmente para trabajadores agrícolas y unas que se llaman H2B que son para muchos otros trabajos como empacadoras, etcétera, las visas que van a darse de una manera más ágil son las H2A y México me imagino que, es una suposición, que el año que entra tendrá alrededor de unas 260 mil visas H2A”, enfatizó.

Moctezuma Barragán señaló que así se incrementa el número de visas temporales que otorga el gobierno americano, una fórmula sería el futuro de la política migratoria.

“Además está probado que el trabajador migratorio temporal es una fórmula que beneficia a todas las partes por que el trabajador temporal no se queda a vivir en los Estados Unidos, su familia no se queda vivir en los Estados Unidos, regresan a sus países de origen”, explicó.

“Y eso es algo importante para los Estados Unidos y para el trabajador pues tiene su ingreso, tiene su trabajo asegurado y lo más importante puede regresar al año que entra, él tiene la certeza de que puede regresar, es una fórmula que creo que será el futuro de la política migratoria y esto es algo que además pues se tiene que ver para que el año que entra tenga el presupuesto necesario dentro del Congreso”, recalcó.

El embajador apuntó que se buscaría que cada año se aumente el número de visas temporales, aunque no especificó un porcentaje.

Señaló que continúa el diálogo bilateral entre ambos países para abordar temas importantes como combatir el tráfico de armas, aumentar la inversión, además de que noviembre se celebrará la Cumbre de Líderes de América del Norte y el Diálogo Económico de Alto Nivel.

“Lo que podemos ver es que afortunadamente la relación entre México y los Estados Unidos está encausada de una manera que permite que se resuelvan los problemas, hay muchos más entendimientos que problemas”, afirmó.

De las diferencias que aún se tienen con el gobierno estadounidense, detalló que son en “temas como la industria automotriz, en las reglas de origen como se llaman aquí, en el crédito fiscal que le quieren otorgar a los automóviles eléctricos, en ese tipo de temas tenemos algunas diferencias, entonces, pero sin embargo el diálogo y la relación sigue fluida”.

En el vuelo en el que viaja Moctezuma Barragán — que recientemente se recuperó del covid— están el embajador de Estados Unidos en México, Ken Salazar; el presidente del Consejo Coordinador Empresarial, Francisco Cervantes; y Roberto Velasco Álvarez, jefe de Unidad para América del Norte de la Secretaría de Relaciones Exteriores."
0,https://www.capitalmexico.com.mx/viral/murio-federico-villa-interprete-de-caminos-de-michoacan/,mexico,capitalmexico,"Murió Federico Villa, intérprete de ‘Caminos de Michoacán’",2022-07-14,"Murió Federico Villa, intérprete de ‘Caminos de Michoacán’

El intérprete de música ranchera, quien alcanzó gran popularidad por su interpretación de ‘Caminos de Michoacán’, murió ayer.

A través de redes sociales, trascendió que Federico Villa, célebre intérprete del tema Caminos de Michoacán, murió a los 84 años de edad.

El deceso, ocurrido el miércoles, fue dado a conocer por el senador del Partido de la Revolución Democrática (PRD), Antonio García.

“Federico Villa, dio voz a Caminos de Michoacán. A todos se nos ha erizado la piel con su interpretación. Que en paz descanse este ídolo de la música ranchera”, escribió García en Twitter.

Federico Villa, dio voz a Caminos de #Michoacán. A todos se nos ha erizado la piel con su interpretación. Que en paz descanse este ídolo de la musica ranchera.



Foto: Spotify. pic.twitter.com/3KcxtQXkpm — Toño García (@AntonioGC_PRD) July 14, 2022

Hasta el momento se desconocen las causas de la muerte del cantante de 84 años de edad.

Que en paz descanse Don Federico Villa, una figura emblemática de la cultura popular mexicana, orgullosamente michoacano. Mi más sentido pésame a su familia y seres queridos por tan irreparable pérdida. pic.twitter.com/Jrz8xnuHpl — Marko Cortés (@MarkoCortes) July 14, 2022

¿Quién era Federico Villa?

El cantante nacido en Zamora, Michoacán, se interesó en la música regional mexicana desde su infancia.

Durante su niñez, participó en un concurso de radio local el cual ganó, hecho que lo impulsó a seguir una carrera en la música.

Después de mudarse a la Ciudad de México, para hacer crecer su carrera, grabó con la disquera RCA Victor Records el tema Puñales de Fuego.

También, al igual que muchos otros cantantes del género, incursionó en el cine, con filmes como La hija de nadie o La sangre de nuestra raza, compartiendo créditos en esta última con Joan Sebastian.

Federico Villa se hizo especialmente conocido por su interpretación de Caminos de Michoacán, una composición de Bulmaro Bermúdez Gómez."
0,https://www.capitalmexico.com.mx/nacional/es-falso-que-la-corte-no-ha-resuelto-asuntos-que-pueden-ser-relevantes-o-importantes-para-el-gobierno-en-turno-scjn/,mexico,capitalmexico,Es falso que la Corte no ha resuelto asuntos que pueden ser relevantes o importantes para el Gobierno en turno: SCJN,2022-07-14,"Es falso que la Corte no ha resuelto asuntos que pueden ser relevantes o importantes para el Gobierno en turno: SCJN

Es falso que la Corte no ha resuelto asuntos que pueden ser relevantes o importantes para el Gobierno en turno: SCJN.

El Ministro Presidente de la Suprema Corte de Justicia de la Nación (SCJN) Arturo Zaldívar Lelo de Larrea, negó que el Máximo Tribunal no ha resuelto asuntos que pueden ser relevantes o importantes para el Gobierno en turno.

”Esto es absolutamente falso, como se puede demostrar simplemente con la enunciación de los asuntos que hemos venido resolviendo”.

Previo a declarar la clausura del Primero Periodo de Sesiones de la Corte, Arturo Zaldívar, destacó entre otros muchos asuntos, que la Corte resolvió los temas de la mayor relevancia e interés público, tal y como son:

• La Ley Federal de Revocación de Mandato.

• La Ley Federal de Austeridad Republicana.

• La Ley Federal de Presupuesto y Responsabilidad Hacendaria.

• La Ley de la Industria Eléctrica.

• El Padrón Nacional de Usuarios de Telefonía Móvil, (el famoso PANAUT).

• La Suspensión en contra de omisión a vacunar a niños, niñas y adolescentes.

“Estos asuntos se suman a otros resueltos el año pasado: Ley Nacional de Extinción de Dominio; Ley General de Salud, el tema de Objeción de Conciencia; también el tema del aborto, cigarros electrónicos, prisión preventiva oficiosa para delitos fiscales, y la Ley Nacional sobre Uso de la Fuerza”.

“Consecuentemente, niego una vez más, categóricamente, que esta Suprema Corte esté relegando, atrasando la resolución de asuntos”.

Así mismo enfatizó que se está trabajando con intensidad, con transparencia, de cara a la opinión pública y las sentencias y debates son públicos para que puedan ser valorados por la opinión pública, y advirtió “Seguiremos así”.

El también Titular del Poder Judicial de la Federación, dijo que a lo largo del primer semestre del año, la Suprema Corte, tanto en Pleno como en Salas, ha trabajado con una enorme intensidad, ya que se han resuelto asuntos de gran relevancia para el país y para las personas que habitan en él.

“A lo largo de los asuntos, muchos de ellos complicados y discutibles, las señoras Ministras y Ministros hemos emitido nuestros votos con autonomía e independencia, de acuerdo a nuestras convicciones y a nuestra visión del Derecho”.







Además reconoció que en un Tribunal Constitucional es natural la pluralidad y, consecuentemente, las visiones distintas sobre los problemas jurídicos.

“Hemos discutido, debatido, a veces con mucha intensidad, siempre con respeto, para tratar de convencer a nuestras compañeros y compañeros Ministros de los puntos de vista que cada uno de nosotros tenemos”.

“Como no puede ser de otra manera, al final tiene que operar una regla de mayoría, mayoría simple para un gran número de asuntos, y mayoría calificada cuando se trata de invalidar con efectos generales una ley”.

De igual forma dijo que en el máximo Tribunal de la Nación, lo que compiten son argumentos, razones, consideraciones, y no necesariamente la regla de mayoría.

“En un Tribunal Constitucional, implica per se, que quienes tengan mayoría tengan razón y quienes están en la minoría, no la tengan, al final del día y para efectos de la crítica, nuestro trabajo está en los argumentos minoritarios, mayoritarios, los votos concurrentes, los votos particulares”.

También se refirió a la crítica sobre el trabajo de las Ministras y los Ministros, lo cual es muy sano, siempre y cuando se refiera a las razones de las sentencias y de los votos que se expresan en las sesiones públicas.

“No es serio descalificar a Ministras o Ministros porque no se coincide con el sentido de los votos, lo que se debe hacer, y es lo deseable, es que se debata, se discuta, se critique, se argumente sobre lo que dijimos y cómo lo dijimos, porque de esta manera, la academia, el foro y la opinión pública ayuda a que tengamos un mejor tribunal constitucional al ser receptivos a las críticas que se nos plantean”.

Y advirtió que cuando las críticas son solamente descalificaciones, no abonan a la democracia, ni abonan a avanzar hacia un tribunal constitucional más consolidado.

“Ahí están nuestras razones, ahí están nuestras consideraciones, ahí están nuestros argumentos en todos y cada uno de los asuntos que hemos venido resolviendo, esta Suprema Corte confirma una vez más su independencia y su autonomía y la seriedad de todas y todos quienes lo integramos”.

Arturo Zaldívar dijo que el segundo Periodo de Sesiones que inicia el próximo lunes primero de Agosto, será aún más intenso.

“Y no tengo duda de que seguiremos avanzando, consolidando una democracia en la que este Tribunal Constitucional se vuelve una garantía para que todas las personas disfruten de todos sus derechos”.

Finalmente, el Ministro Presidente realizó la declaratoria correspondiente:

“Esta Suprema Corte de Justicia de la Nación declara hoy, jueves 14 de julio de 2022, con efectos al día de mañana a las veinticuatro horas, clausurado el Primer Periodo de Sesiones correspondiente al año en curso”.

“Convoco a las señoras y señores Ministros a nuestra próxima Sesión Pública ordinaria que tendrá verificativo el lunes primero de agosto del año en curso a la hora de costumbre, se levanta la sesión”."
0,https://www.capitalmexico.com.mx/nacional/fgr-desmantelo-organizacion-criminal-trasnacional-de-trata-de-personas/,mexico,capitalmexico,FGR desmanteló organización criminal trasnacional de trata de personas,2022-07-14,"FGR desmanteló organización criminal trasnacional de trata de personas

La Fiscalía General de la República (FGR), logró la desarticulación de una organización criminal trasnacional, dedicada a la producción de imágenes y videos con contenido de actos sexuales y exhibicionismo de personas menores de edad, de nacionalidad mexicana y costarricense.

A través de la Fiscalía Especializada en materia de Delincuencia Organizada (FEMDO), y en coordinación con autoridades de la República de Costa Rica, por conducto de la Coordinación de Asuntos Internacionales y Agregadurías, detuvieron a Cinco Responsables, mismos que fueron puestos a Disposición de un Juez Federal.

Según la indagatoria, desde el año 2011 las víctimas eran engañadas mediante una fachada de agencia de modelaje, a través de empresas constituidas en la República de Costa Rica y Estados Unidos; para lo cual comercializaban las imágenes y videos con contenido de pornografía infantil a través de diversos sitios de internet en todo el mundo.

En octubre de 2016, se inició la investigación, derivado de la denuncia efectuada a través de Interpol México, por parte de la Oficina Central Nacional de la República de Costa Rica, en la que refieren que detectaron a diversas personas involucradas en México dedicadas a la fabricación, comercio y difusión de material con contenido pornográfico infantil a través de sitios de internet.

Es por ello que, una vez demostrada la responsabilidad de los acusados por parte del agente del Ministerio Público de la Federación (MPF), de la Unidad Especializada en Investigación de Tráfico de Menores, Personas y Órganos, (UEITMPO), el Juez de Distrito en funciones del Tribunal de Enjuiciamiento del Centro de Justicia Penal Federal, con sede en el Reclusorio Norte, emitió sentencias condenatorias en contra de:

Rafael Zepeda Rocha, quien recibió la pena de 42 años y seis meses de prisión; mientras que para Blanca Esthela Zepeda Rocha, Lidia Lizeth Guarneros Gaspariano y Marlon Arroyo Moreno la sentencia fue de 32 años y seis meses de prisión.

Por último, Pedro David Ramírez Pulido, la pena fue de 25 años de prisión, todos por su responsabilidad en los delitos de delincuencia organizada con fines de trata de personas, así como el diverso delito de trata de personas agravado en las modalidades de producir, comercializar y beneficiarse de la explotación."
0,https://www.capitalmexico.com.mx/nacional/plantas-solares-si-las-regula-se-amlo/,mexico,capitalmexico,Plantas solares si las regula SE: AMLO,2022-07-14,"Plantas solares si las regula SE: AMLO

El presidente Andrés Manuel López Obrador (AMLO) adelantó que en toda la frontera con Estados Unidos se podrían instalar parques solares con inversión extranjera, los cuales estarán regulada por la Secretaría de Energía, y tendrá como socio a la Comisión Federal de Electricidad (CFE).

Cuestionado sobre su encuentro con empresarios mexicanos y estadounidenses en Washington, dijo que se abordó lo relativo al sector energético.

“Tenemos que pensar en energías alternativas, por ejemplo el proyecto que se inició en Sonora de una planta solar, lo queremos replicar en toda la frontera, no sólo para tener energía en nuestro país sino exportar energía a estados fronterizos de la Unión Americana”, refirió.

“De eso hablamos, entonces siempre y cuando la planeación esté a cargo de la Secretaría de Energía y el socio principal sea la Comisión Federal de Electricidad, pero se puede permitir la inversión extranjera, en sociedad con la Comisión Federal de Electricidad para tener energía en el norte, y poder exportar energía eléctrica, sí hay que replicar las plantas solares pero necesitamos también plantas de gas de respaldo, y necesitamos un tendido de líneas de transmisión” agregó.

López Obrador dijo que son fuertes inversiones pero hay interés por parte de los empresarios estadounidenses.

Dijo que Estados Unidos no cuenta con plantas de licuefacción para llevar gas a Europa, pero en México se tienen planeada dos, “una planta de licuefacción en Ensenada, que son alrededor de 5 mil millones de dólares, y otra planta de licuefacción en Altamira, en el Golfo”.

López Obrador dijo que hay otros proyectos para instalar otra planta de licuefacción en puerto Libertad, en Baja California, y otra en Salina Cruz, Oaxaca.

Detalló que como parte de su política para fortalecer la autosuficiencia energética se construirá una planta coquizadora en Salina cruz y otra en Tula con una inversión de 6 mil millones de dólares de Pemex.

El primer mandatario adelantó que este fin de semana tendrá una gira de trabajo para visitar plantas de fertilizantes que se están rehabilitando para aumentar la producción porque se tiene la meta de abastecer 60% del mercado.

%"
0,https://www.capitalmexico.com.mx/cdmx/pt-impulsara-a-fernandez-norona-como-candidato-presidencial/,mexico,capitalmexico,PT impulsará a Fernández Noroña como candidato presidencial,2022-07-14,"PT impulsará a Fernández Noroña como candidato presidencial

El Partido del Trabajo tiene su propia “corcholata” para las elecciones presidenciales del 2024, el diputado federal Gerardo Fernández Noroña, quien goza de mayor popularidad que los aspirantes más visibles de Morena.

Así lo expresó el también legislador petista, Reginaldo Sandoval quien afirmó que Fernández Noroña ya está listo para competir por la candidatura presidencial de la coalición Juntos Hacemos Historia, a través de una encuesta popular como lo ha propuesto el propio presidente Andrés Manuel López Obrador.

Incluso, aseguró que si en este momento se hace un “sondeo” Noroña ganaría a las “corcholatas” que se mencionan en este momento en Morena para competir por la candidatura presidencial.

“Nosotros tenemos nuestro candidato para el 24, es nuestra propuesta y ya está listo para la encuesta y es Noroña, mucha gente si lo quiere, es más, Noroña si les gana en todos los sondeos hasta ahorita. Por eso les digo a los propios de Morena y les hago un llamado a la unidad y que vean lejos, que pongan como prioridad a la 4T, la transformación, nosotros no estamos luchando por cargos, por huesos, estamos luchando por seguir encabezando desde la Presidencia de la República, la transformación de México, la cuarta transformación”.

En el caso del candidato petista para gobernador del Estado de México, el diputado Reginaldo Sandoval manifestó que su gallo es el ex diputado Oscar González Yáñez y para Coahuila aún no tienen definido a su postulante.

Por último, el petista reiteró su llamado a mantener la unidad en la alianza Morena– PT – PVEM, pero sin imposiciones, porque de lo contrario la suerte de la 4 T podría estar en peligro."
0,https://www.capitalmexico.com.mx/viral/pena-nieto-pone-en-venta-su-lujosa-casa-de-espana/,mexico,capitalmexico,Peña Nieto pone en venta su lujosa casa de España,2022-07-14,"Peña Nieto pone en venta su lujosa casa de España

Horas después de que se anunciara que Enrique Peña Nieto sería investigado, un portal inmobiliario público la venta de la lujosa propiedad.

Reportan que el expresidente Enrique Peña Nieto puso a la venta su casa de lujo de España, ubicada en el barrio de Valdelagua, luego de que la Unidad de Inteligencia Financiera (UIF) informara que la Fiscalía General de la República (FGR) lo investiga.

De acuerdo con El País, unas horas después de que la UIF informara que la Fiscalía indagaría al expresidente por recibir transferencias bancarias desde México a Madrid por la cantidad de un millón de dólares, presuntamente, un portal inmobiliario publicó la oferta.

Según el medio mencionado, Peña Nieto pide 652 mil 918 dólares por el lujoso predio que se encuentra en una de las zonas más exclusivas de la capital en el municipio de San Agustín de Guadalix y que tiene como vecinos a grandes celebridades como Penélope Cruz, Javier Bardem.

¿Cómo es la casa?

Según El País, es un chalet construido en una parcela de 2 mil 500 metros cuadrados, cuenta con dos pisos y un sótano, en este último se encuentra el garaje y una bodega, el terreno restante es solo jardín.

“Un seto de cipreses protege la intimidad del exdirigente priista, que mantiene una enorme bandera de España ondeando en la explanada de la entrada”, menciona el medio.

Asimismo, se detalla que dentro de este “barrio fino” se ven pasar ferraris de color amarillo y autos último modelo.

Nadie puede ingresar a la zona, al menos que los residentes anuncien la entrada, Valdelagua cuenta con seguridad privada que hace rondas continuas por sus calles, este cuenta con alrededor de 300 viviendas lujosas.

Es preciso mencionar que la autorización de residencia de Peña Nieto expira el próximo octubre, lo que podría hacer el expresidente es solicitar la nacionalidad o renovar su permiso actual.

Si opta por renovar el permiso, el exfuncionario tendría cinco años más para seguir disfrutando de las calles de Madrid.

Peña Nieto y su visa dorada

Según la información, Enrique Peña Nieto es conocido por tener la visa dorada, trámite que permite regularizar a los grandes inversores que destinan alrededor de un millón de euros en a la adquisición de activos españoles, o que cuentan con un proyecto empresarial o compran propiedades con un valor de 10,5 millones de pesos mexicanos aproximadamente."
0,https://www.capitalmexico.com.mx/cdmx/diputados-de-mc-y-pan-llegan-a-kiev-condenan-invasion-rusa-a-ucrania/,mexico,capitalmexico,Diputados de MC y PAN llegan a Kiev; condenan invasión rusa a Ucrania,2022-07-14,"Diputados de MC y PAN llegan a Kiev; condenan invasión rusa a Ucrania

Diputados de MC y PAN llegan a Kiev; condenan invasión rusa a Ucrania. Jorge Álvarez criticó la guerra desatada contra el pueblo ucraniano.

Después de 19 horas de viaje en tren desde la frontera con Polonia, los diputados de Movimiento Ciudadano, Jorge Álvarez Máynez, Salomón Chertorivski y Julieta Mejía, así como el panista Riult Rivera, llegaron este jueves a Kiev, capital de Ucrania, para conocer de primera mano la situación de ese país a consecuencia de la invasión rusa y expresar un mensaje de solidaridad del Congreso mexicano.

Tras constatar parte de la destrucción por los bombardeos, los legisladores condenaron enérgicamente la guerra iniciada por el gobierno ruso de Vladimir Putin.

A través de un mensaje publicado en redes sociales, el coordinador del grupo parlamentario emecista, Jorge Álvarez Máynez, criticó la guerra desatada contra el pueblo ucraniano.

“Estamos en Kiev para expresar nuestra solidaridad con el pueblo de Ucrania frente a esta injusta y larga guerra que viven”.

Estamos en Kiev para expresar nuestra solidaridad con el pueblo de Ucrania frente a esta injusta y larga guerra que viven. pic.twitter.com/rn5jBaCyIU — Jorge Álvarez Máynez (@AlvarezMaynez) July 14, 2022

Manifestó que la invasión ordenada por Vladimir Putin ha cobrado miles de vidas y generado el desplazamiento de 4.5 millones de personas.

“Es una guerra sumamente desventajosa, desigual, que condenamos enérgicamente y por eso decidimos hacer esta visita a invitación del gobierno y del parlamento de Ucrania y estar aquí, estar en Kiev, en Ucrania, condenando enérgicamente la invasión militar desde nuestra representación en el Congreso de México”, comentó.

Por su parte, Salomón Chertorivski mostró en vídeo y fotos de la destrucción en las ciudades de Irpin y Kiev.

“Muy duro ser testigo del nivel de destrucción tras los ataques rusos en una comunidad ucraniana, unidades habitacionales completamente destruidas por la mano del hombre. Aquí vivían cientos de civiles que no pudieron evacuar”, consignó.

El legislador señaló que en una situación como la que vive hoy Ucrania, “cruzar la frontera para atender la invitación de su parlamento es todo menos una vacación, pero sí es un viaje transformador y un puente que el Congreso mexicano debe tender”.

La diputada Julieta Mejía destacó que ante “una guerra inimaginable, inhumana y desigual”, ser indiferente no es una opción.

Señaló que mueren inocentes y que los delitos y las violaciones a mujeres ucranianas cometidas por el ejército ruso es algo de lo que no se habla.

Mientras, el panista Riult Rivera, presidente del Grupo de Amistad México-Ucrania de la Cámara de Diputados, reafirmó el objetivo de conocer la situación de primera mano y manifestar solidaridad con el pueblo ucraniano, anteponiendo la lucha por los derechos humanos y el respeto al derecho internacional.

“La invitación fue hecha por el parlamento ucraniano y la comisión conformada por apenas cuatro diputados va de manera abierta al diálogo, al conocimiento, pero sobre todo empáticos con la situación de guerra y refugio que, aunque pareciera lejana a México, afecta de manera global las áreas económicas, laborales, culturales, de salud, educativas, pero, sobre todo, de hermandad”, comentó a través de un comunicado de prensa."
0,https://www.capitalmexico.com.mx/nacional/para-servir-a-esta-gran-nacion-es-indispensable-continuar-con-la-formacion-de-el-humano-semar/,mexico,capitalmexico,"Para servir a esta gran Nación, es indispensable continuar con la formación de ‘el humano’: SEMAR",2022-07-14,"Para servir a esta gran Nación, es indispensable continuar con la formación de ‘el humano’: SEMAR

Para servir a esta gran Nación, es indispensable continuar con la formación de 'el humano': SEMAR.

Al refrendar el compromiso de la Armada de México, en la noble misión de servir a la Nación, es indispensable continuar la formación y preparación del recurso más importante que es el ser humano, así lo señaló el Almirante Secretario de Marina, José Rafael Ojeda Durán.

“Es así que, a través del sistema Educativo Institucional, guiado por la Universidad Naval, mantenemos nuestro actuar diario, hacia la vanguardia y acorde a las exigencias actuales a nivel nacional e internacional, las y los marinos mercantes y navales navegamos un derrotero claro y definido, sin educación no hay progreso; y sin progreso no puede haber bienestar”.

Al encabezar la ceremonia de graduación de 262 elementos navales (242 masculinos y 20 femeninos) que concluyeron sus estudios en diferentes Maestrías y Especialidades, del Centro de Estudios Superiores Navales (CESNAV), el también Alto Mando de la Armada de México dijo que las familias mexicanas pueden estar seguras de contar, en todo momento, con marinos navales y náuticos, mexicanos todos, preparados y listos para Servir a México.

“Nuestro muy querido México puede estar cierto de que las mujeres y hombres de mar seguiremos actuando, siempre, con Honor, Deber, Lealtad y Patriotismo”.

Ojeda Durán, dijo que en este evento se atestigua la graduación exitosa, a nivel posgrado, de mujeres y hombres civiles, militares y navales, de la Administración Pública Federal y de los países hermanos de: Belice, Guatemala, Nicaragua, Perú y República de Corea.

“El CESNAV, como es conocido nuestro plantel educativo en el medio institucional, ha cumplido un año más con la impartición de doctorados, maestrías y especialidades de excelencia”.











Para servir a esta gran Nación, es indispensable continuar con la formación de ‘el humano’: SEMAR *FOTOS & VIDEO SEMAR

Así, dijo se mantiene al personal capacitado y actualizado para la mejor toma de decisiones en favor de la Soberanía Nacional desde los mares, costas y puertos.

“Sin embargo, todo lo anterior no sería posible sin dos núcleos fundamentales: el familiar y el académico, por eso, es preciso reconocer y agradecer a los familiares y seres queridos de nuestros graduados por ser su aliento y soporte moral en todo momento, de igual forma, hay que agradecer al personal directivo, docente, administrativo y de servicios del Cesnav, por su incansable labor y profesionalismo”.

En representación del personal graduado, el Capitán de Fragata del Cuerpo General Diplomado en Estado Mayor, Nicolás Lorenzo Huerta Pérez, expresó agradecimientos en nombre de sus compañeros al personal directivo, docente y administrativo de la máxima casa de estudios navales, quienes fortalecieron sus conocimientos durante este ciclo, así como el valioso apoyo de sus respectivas familias, quienes se suman al esfuerzo diario y constante.

Agradeció también al Alto Mando de la Armada de México su apoyo y aseguró que los conocimientos adquiridos serán empleados para el crecimiento y bienestar que la patria requiere.

“Somos parte de una gran nación llena de tradiciones, historia y cultura, que deben ser aliciente para que cada uno de nosotros se entregue en cuerpo y alma, a la tarea más noble que es engrandecerla”.

Cabe mencionar que los 262 discentes se graduaron de los diversos posgrados que ofrece el CESNAV: maestrías en Seguridad Nacional, Administración Naval, Geopolítica y Administración Marítima-Portuaria y Aduanas Marítimas; especialidades en Mando Naval, Inteligencia Naval, Análisis de Operaciones, Sistema de Armas, Comunicaciones Navales, Informática, Logística Operativa, Estado Mayor y Derecho del Mar y Marítimo.

La SEMAR, informó quela misión del CESNAV es impartir estudios de posgrado al personal de la Secretaría de Marina e invitados, con el fin de preparar líderes para actuar en escenarios estratégicos, operacionales y tácticos, con los valores de la profesión naval, así como coadyuvar a desarrollar la doctrina y la planeación estratégica institucional."
