,link,country,news_outlet,title,date,text
0,https://www.elsoldemorelia.com.mx/policiaca/una-nina-muerta-y-dos-mujeres-heridas-deja-agresion-contra-familia-en-uruapan-8466129.html,mexico,elsoldemorelia,Una niña muerta y dos mujeres heridas deja agresión contra familia en Uruapan,2022-07-12,"Morelia, Michoacán (OEM-Infomex).- Una familia de la comunidad de Caltzontzin, en Uruapan, fue víctima de un ataque armado, el domingo por la noche; la agresión dejó a una menor muerta y a dos mujeres heridas. Al momento no se ha detenido a ningún responsable.

Alrededor de las 21:00 horas sujetos con pistolas arribaron al domicilio en la avenida San Salvador, en donde procedieron a cometer el crimen y huyeron.

Te puede interesar: Balean a velador en colonia Miguel Hidalgo de Zamora

Familiares de las afectadas subieron a un taxi para trasladarlas a un hospital; sin embargo, en el camino fueron detenidos por paramédicos y elementos de la Policía Municipal.





Imagen ilustrativa / Foto: Cortesía | Google





Los elementos confirmaron la muerte de la niña de 6 años de edad, además ayudaron a las sobrevivientes, otra menor de 12 años y a una mujer.

Según los primeros reportes, la familia discutió con sujetos que viajaban a exceso de velocidad en un vehículo, a quienes les mencionaron que podrían ocasionar un accidente. Minutos después los hombres habrían regresado armados y agredieron a las mujeres."
1,https://www.elsoldemorelia.com.mx/policiaca/mas-violencia-enfrentamientos-en-san-juan-nuevo-dejan-2-muertos-8540916.html,mexico,elsoldemorelia,Más violencia: enfrentamientos en San Juan Nuevo dejan 2 muertos,2022-07-04,"Morelia, Michoacán (OEM-Infomex).- Al menos dos civiles murieron en un enfrentamiento a balazos entre supuestas células del Cártel Jalisco Nueva Generación (CJNG) y Cárteles Unidos en el municipio de San Juan Nuevo Parangaricutiro, además de que se registraron dos bloqueos carreteros en Tancítaro.

Según reportes locales, la balacera ocurrió aproximadamente a las 15:00 horas en las inmediaciones del poblado Agua Chiquita, la cual se prolongó por media hora.

El saldo del enfrentamiento fue de dos hombres fallecidos, aunque trascendió que un número indeterminado de individuos resultaron lesionados.

Foto: Iván Arias | El Sol de Morelia

Posteriormente, hubo al menos dos bloqueos en distintos puntos carreteros en el municipio de Tancítaro, por lo que el Ejército Mexicano y la Guardia Nacional iniciaron operativos en la zona.

Durante la madrugada del sábado hombres armados ingresaron al municipio de Uruapan, donde realizaron bloqueos carreteros, quema de vehículos empresariales y detonaciones de explosivos.

Los integrantes de grupos criminales incendiaron siete unidades en Uruapan y obstruyeron la circulación en la carretera Nuevo San Juan-Tancítaro por temor a un nuevo ingreso de fuerzas federales y estatales.

Foto: Fernando Maldonado | El Sol de Morelia

Los hechos violentos iniciaron cuando un convoy de fuerzas federales hacía recorridos de rutina por Uruapan, lo que desencadenó una reacción delictiva. Los criminales retuvieron seis unidades comerciales y un autobús de pasajeros de servicios turísticos a los que les prendieron fuego.

La Secretaría de Seguridad Pública (SSP) informó que cinco personas fueron detenidas por estos hechos. Los indiciados fueron puestos a disposición de la autoridad competente y les fueron asegurados diversos utensilios que presuntamente emplearon en la quema de los automotores."
2,https://www.elsoldemorelia.com.mx/policiaca/encuentran-restos-humanos-cerca-de-una-presa-en-jacona-8541081.html,mexico,elsoldemorelia,Encuentran restos humanos cerca de una presa en Jacona,,"Morelia, Michoacán (OEM-Infomex).- Un cuerpo en estado de descomposición fue encontrado cerca de la presa El Seis de la comunidad El Platanal, que pertenece a Jacona.

Ciudadanos que andaban por la zona vieron los restos entre la maleza, por lo que notificaron a la Secretaría de Seguridad Pública, según medios de comunicación locales.

Te podría interesar: Jacona: Un menor y dos adultos muertos tras balacera en centro de rehabilitación

Al lugar llegaron policías estatales, quienes confirmaron que se trataban de restos humanos al fondo de un barranco. Más tarde, llegaron peritos, quienes realizaron el levantamiento del cadáver.

Las primeras observaciones fueron que la víctima, cuyo sexo e identidad se desconocen, presentaba lesiones cortantes en el cuello. El cuerpo fue trasladado al Servicio Médico Forense (Semefo) donde se le realizará una necropsia de ley."
3,https://www.elsoldemorelia.com.mx/policiaca/hallan-otro-craneo-humano-ahora-en-la-morelia-chiquimitio-8512128.html,mexico,elsoldemorelia,"Hallan otro cráneo humano, ahora en la Morelia-Chiquimitío",0911-07-04,"Morelia, Michoacán (OEM-Infomex).- Esta tarde fue encontrado un cráneo humano en un terreno ubicado a la orilla de la carretera Morelia-Chiquimitío.

Según reportes locales, el hallazgo fue realizado por automovilistas que circulaban por la zona y dieron la alerta al número de emergencias 911.

TE PUEDE INTERESAR: Detienen en Nayarit a michoacano acusado de asesinar a su exesposa

Al lugar acudieron elementos de la Policía de Morelia, quienes resguardaron el área y notificaron a la Fiscalía General del Estado (FGE).

Unidades de la Fiscalía General del Estado | Foto: Fernando Maldonado | El Sol de Morelia

Peritos iniciaron las investigaciones del caso, mientras que los restos fueron trasladados a las instalaciones del Servicio Médico Forense (Semefo) para los exámenes correspondientes.

El domingo pasado se encontró otro cráneo humano en la colonia Ampliación Revolución de Uruapan. Los restos fueron abandonados en una jardinera en la calle Del Carmen, cerca de la avenida Latinoamericana, envueltos en prendas de mujer.

El hallazgo fue realizado por personas que pasaban por el lugar, de acuerdo con reportes locales. Elementos de la Policía Michoacán y del Ejército Mexicano revisaron y acordonaron la zona."
4,https://www.elsoldemorelia.com.mx/analisis/patricio-8542157.html,mexico,elsoldemorelia,"Noticias Locales, Policiacas, sobre México, Michoacán y el Mundo",,"Utilizamos cookies para personalizar y mejorar su experiencia en nuestro sitio y optimizar la publicidad que le ofrecemos. Visite nuestra Política de cookies para saber más. Al hacer clic en ""aceptar"", usted está de acuerdo con el uso que hacemos de las cookies."
5,https://www.elsoldemorelia.com.mx/local/inicia-marcha-de-la-cnte-se-dirigen-hacia-la-fiscalia-8543042.html,mexico,elsoldemorelia,Inicia marcha de la CNTE; se dirigen hacia la Fiscalía,2022-07-21,"Morelia, Michoacán (OEM-Infomex).- Los integrantes de la CNTE Poder de Base iniciaron con la marcha desde las oficinas de Pensiones Civiles en Morelia hacia la Fiscalía General del Estado; se prevé la concentración del gremio en las vías del tren de Tres Puentes.

Van a avanzar hacia el libramiento pasando por plaza La Huerta. Harán una pausa en la FGE, luego seguirán hacia la salida a Quiroga y sobre la avenida Madero continuarán hasta llegar al camino ferroviario.

Poder de Base no descartó bloquear las vías, sin embargo, ya se encuentran elementos de seguridad en la zona.

Este día también se cumplen 21 días del plantón que instalaron en el Centro Histórico de la capital michoacana, para exigir pago a trabajadores eventuales y solución a procesos administrativos.

Avance Informativo"
6,https://www.elsoldemorelia.com.mx/horoscopos/horoscopos-del-04-de-julio-8542138.html,mexico,elsoldemorelia,Horóscopos del 04 de julio,2022-07-04,"Horóscopos del 04 de julio

Acuario (Enero 1 - Febrero 18)

En el trabajo debes tener más paciencia, los cambios precipitados no te favorecen, y en estos momentos entrarás en una fase de turbulencias.

Piscis (Febrero 19 - Marzo 20)

Tendrás claro que debes tomar ciertas decisiones antes de que pasen muchos días, pero sabes que has de madurarlas para no equivocarte.

Aries (Marzo 21 - Abril 19)

Hoy pareces tocado con una varita mágica en las actividades que te ocupan el día. Refleja sin miedo este estado de creatividad y conseguirás buenos resultados.

Tauro (Abril 20 - Mayo 20)

Se presenta un día interesante en el trabajo o en tu círculo de amistades. Aprenderás algunas cosas sobre el comportamiento de las personas que te servirá para tu día a día

Géminis (Mayo 21 - Junio 20)

Tu gran fuerza de voluntad te hará sobreponerte a una prueba que el destino te tiene preparada, pero que te ayudará a salir con el ego reforzado.

Cáncer(Junio 21 - Julio 22)

Es el momento de hacerlo, sin prisa pero sin pausa: si tienes pensado poner en marcha algún proyecto al que concedas especial relevancia, trata de abordarlo con paciencia.

Leo (Julio 23 - Agosto 22)

Intenta ser más metódico en el trabajo y la situación fluirá hacia el éxito, ya que también te beneficiarás de la ayuda de personas influyentes en tu vida profesional.

Virgo (Agosto 23 - Septiembre 22)

Una conversación con tu jefe no tiene por qué causarte temor, tienes un montón de temas pendientes y alguna que otra idea con la que salir a flote.

Libra (Septiembre 23 - Octubre 22)

Una mayor aproximación con tu pareja te aliviaría de las tensiones acumuladas. Tienes que ser menos exigente con sus cosas.

Escorpión (Octubre 23 - Noviembre 21)

Las nuevas etapas iniciadas recientemente te traen ahora resultados muy positivos, tal vez cuando estabas a punto de tirar la toalla.

Sagitario (Noviembre 22 - Diciembre 21)

Después de unos días de incertidumbre se aclaran situaciones complicadas y vuelve la normalidad en el seno de la familia.

Capricornio (Diciembre 22 - Enero 19)"
7,https://www.elsoldemorelia.com.mx/policiaca/hallan-muerto-a-adulto-mayor-en-jardinera-del-planetario-8528938.html,mexico,elsoldemorelia,Hallan muerto a adulto mayor en jardinera del Planetario,2069-07-04,"Morelia, Michoacán (OEM-Infomex).- El cuerpo sin vida de un adulto mayor fue encontrado esta tarde en una jardinera del Planetario, en la colonia Félix Ireta de Morelia. La persona tenía su domicilio en la comunidad de Atécuaro.

Según reportes locales, el hallazgo fue hecho por personas que pasaban por la zona, quienes alertaron a las autoridades mediante el número de emergencias 911.

Te podría interesar: Asesinan a hombre en la colonia Felipe Carrillo Puerto

Al sitio acudieron paramédicos que confirmaron el deceso e indicaron que el hombre no tenía huellas de violencia.

Un familiar identificó al adulto mayor como Emilio, de 69 años, residente de la comunidad de Atécuaro. Posteriormente, policías de Morelia notificaron a la Fiscalía General del Estado (FGE) que inició las investigaciones del caso."
8,https://www.elsoldemorelia.com.mx/mexico/sociedad/consejo-de-genero-oem-pelean-para-castigar-tentativa-de-feminicidio-8542008.html,mexico,elsoldemorelia,Consejo de Género OEM: Pelean para castigar tentativa de feminicidio,2022-07-20,"Mujeres sobrevivientes pelean para que la tentativa de feminicidio en México se castigue con prisión preventiva oficiosa, así como para que los agresores no tengan beneficios anticipados, que la penalidad del delito suba y “que la vergüenza cambie de bando”.

Durante la vigésima primera sesión del Consejo con Perspectiva de Género de la Organización Editorial Mexicana (OEM), Carolina Ramírez narró cómo sobrevivió a un intento de feminicidio y la manera en la que, junto a su colectivo, nació la necesidad de luchar porque las leyes se reformen para garantizar la vida de las mujeres.

➡️ Consejo de Género OEM: Hay que analizar los datos con “ojos violeta”

Sociedad Consejo de Género OEM: Ven desigual la cobertura de mujeres buscadoras

“Las sobrevivientes de feminicidio estamos en el limbo, hemos logrado un poco que esto se ponga en la mesa, que nos volteen a ver, pero ha costado mucho trabajo porque si no morimos entonces no es suficiente”, afirmó.

“Lo logras: te salvaste. Pero las instituciones que se supone que están para atenderte, su personal, no tiene la formación para tratar la violencia de las mujeres (...) Te vas topando con una serie de personas que te ayudan, pero otras no, no te ayudan a tener la posibilidad de reconocerte como sobreviviente”, agregó.

Carolina Ramíez subrayó que algo que sucede mucho con las sobrevivientes es que les cuesta trabajo reconocerse a sí mismas como eso, pues “da mucha vergüenza pensar que alguien te agrede, que te trate de asesinar por una cuestión que no comprendes”.

Según dijo, un elemento importantísimo es que durante la cobertura de este delito, “la vergüenza debe de cambiar de bando, tiene que estar en el agresor, siempre”.

La reforma, que actualmente tiene el Senado de la República para su análisis, tipifica la tentativa de feminicidio para que las sobrevivientes tengan garantía de seguir con vida. ¿Cuál es la diferencia entre tentativa de feminicidio y no de homicidio? la penalidad.

“La penalidad es muy importante porque en ocho años que le dieron (a mi agresor) yo ya tenía que estar pensando si tenía que ir a vivir a Helsinki o Australia. En cambio si hubiera sido por feminicidio en grado de tentativa tendría por lo menos 20 años en los que yo ya podía planear y saber qué hacer. Hay una diferencia enorme”, afirma.

Explicó que lo que impulsan es una reforma para que precisamente sea prisión preventiva oficiosa y no de la voluntad del juez o su humor; además de que el agresor o agresores no tengan beneficios o que salgan anticipadamente porque “se portó bien y va para afuera”, así como que la penalidad suba de la mitad hacia arriba del delito consumado, como medida para garantizar nuestra vida. “Estos tres elementos son fundamentales en la reforma que ya se aprobó en el Congreso y está en el Senado para ser analizada”, dijo.

Sociedad Avanza OEM en lenguaje incluyente y no sexista

Reconocerse como sobreviviente

Ramírez insistió en que algo que sucede con las sobrevivientes es que les cuesta trabajo reconocerse de esa forma y por ello consideró que el periodismo debe considerar un elemento importante cuando se hacen coberturas: “la vergüenza debe de cambiar de bando, la vergüenza tiene que estar en el agresor, siempre”.

“Estamos en un limbo donde ni somos tan noticia porque no nos morimos pero tampoco se sabe muy bien qué pueden aportar, o dicen ha de estar mintiendo eso es terrible porque el dicho de las mujeres y de las sobrevivientes es cuestionado por todo el mundo, incluso de quienes están dentro del tema de violencia”, afirma.

Asimismo, considera que en el camino de las sobrevivientes existen personas que las ayudan, pero hay también quienes no les brindan la posibilidad de reconocerse de esa manera.

“Lo logras: te salvaste. Las instituciones que se supone están para atenderte, no tienen personal con la formación para tratar la violencia contra mujeres ni trauma severo ni violencia extrema pues tampoco con perspectiva de género”, agrega.

Ramírez destaca que el único culpable en este tipo de violencias es el agresor. “Y lo hemos visto en el caso de Yrma Lidia cuando dicen ‘tan bonita y jovencita, ¿qué hacía con el viejo?’ Siempre se le pone el punto de culpabilidad a la víctima y eso no. El único culpable en este tipo de violencias feminicidas es el agresor, cuando es él el que te asesina, te apuñala, te descarga balazos, te ahorca o la que sea la manera en la que quiere acabar con tu vida”.

➡️ Consejo de Género de la OEM: Mujeres, ni estereotipadas, ni invisibilizadas

Sociedad Consejo de Género OEM: Las mujeres migrantes no son solo víctimas

Mejores prácticas

Sara Lovera, periodista feminista y consejera permanente de la OEM, reconoció la investigación “Las sobrevivientes olvidadas por la justicia” realizada por Gloria Piña en la que da cuenta que en los últimos ocho años se han registrado 1.7 millones de ataques violentos contra mujeres y de esos 781 fueron considerados como intento de feminicidio.

“Ellas mismas dicen que tipificar la tentativa de feminicidio no es suficiente pues las sobrevivientes enfrentan un sistema donde no se reconoce el delito, ni hay análisis de las garantías de seguridad que debieran establecerse para que puedan continuar con su vida, muchas todavía viven bajo amenazas y problemas de salud”, afirmó.

Lovera consideró que identificarlas, explicarlas y analizarlas, ayudaría a hacerlas conscientes en la población, en los señores que imparten justicia y en el público en general. “La tipificación del crimen se está discutiendo, pero dicen que no será suficiente, ¿podemos explicar por qué son sobrevivientes? ¿Cómo una mujer desde que nace hasta su muerte vive violencia machista de múltiples maneras?.Desde esa perspectiva podemos hacerlas visibles y entendibles para todas las personas”, aseguró.

La feminista aconsejó que desde los medios se vale “hacerse como vigías” del sistema de justicia, pero también del sistema educativo o el sistema asistencial. “Los servicios de salud o estos anuncios de que dan mucho dinero y se atiende a las mujeres en verdad no las ven a ellas en el centro, tampoco las políticas públicas, parece que las autoridades solo son reactivas”, añade.









TE RECOMENDAMOS EL PODCAST⬇️

Disponible en: Acast, Spotify, Apple Podcasts, Google Podcasts, Deezer y Amazon Music"
9,https://www.elsoldemorelia.com.mx/policiaca/encuentran-a-hombre-en-una-brecha-de-apatzingan-8497613.html,mexico,elsoldemorelia,Encuentran a hombre en una brecha de Apatzingán,2022-07-23,"Morelia, Michoacán (OEM-Infomex).- La Policía Michoacán encontró a un hombre en una brecha del municipio de Apatzingán.

De acuerdo con los reportes locales, los elementos de seguridad dieron con el afectado en un camino que conduce al Rancho Galeana después de recibir un reporte de tiroteo. Junto a él, descubrieron el cuerpo de otro hombre con impactos de bala.

Te puede interesar: Localizan a hombre sin vida en El Durazno

Posteriormente, se avisó del hecho a la Fiscalía Regional, instancia que realiza las investigaciones correspondientes, así como al Servicio Médico Forense (Semefo) para el levantamiento del cadáver y practicar los exámenes de ley.





Foto: Fernando Maldonado | El Sol de Morelia





También se pidió al hombre que relatara lo sucedido. Acerca del difunto, se desconoce su identidad y los motivos de su muerte.

Cabe señalar que el jueves 23 de junio, policías municipales localizaron el cuerpo de una mujer a faldas del cerro de Las Gradillas, en esta misma demarcación, tras atender una llamada de emergencia. La víctima presentaba heridas por arma de fuego.





Policiaca Detienen a presunto responsable de multihomicido en colonia El Resplandor





Asimismo, en otros acontecimientos, la mañana de este viernes se ubicó a un individuo sin vida cerca del Panteón de El Durazno, en el municipio de Morelia.

Finalmente, es de recordar que el lunes de esta semana, la titular de la Secretaría de Seguridad y Protección Ciudadana (SSPC) dio a conocer que Michoacán se encontraba en el segundo sitio a nivel nacional en homicidios dolosos sólo por detrás de Guanajuato, durante el cuatrimestre enero-mayo 2022."
