,link,country,news_outlet,title,date,text
0,https://www.elsoldepuebla.com.mx/policiaca/asaltan-tienda-departamental-en-cuautlancingo-se-llevan-casi-100-telefonos-celulares-8602518.html,mexico,elsoldepuebla,"Asaltan tienda departamental en Cuautlancingo, se llevan casi 100 teléfonos celulares",2022-07-25,"Cerca de un centenar de equipos de telefonía celular fue el botín que lograron varios delincuentes que tomaron por asalto la tienda Elektra del municipio de Cuautlancingo, la noche del viernes.

Fuentes policíacas indicaron que minutos antes de las 20 horas, llegaron cuatro hombres y como cualquier cliente ingresaron a la tienda que se ubica en la avenida México-Puebla a unos metros del conocido crucero denominado Cuatro Caminos que hace entronque con el Anillo Periférico y conduce al municipio de Santa María Coronango.

Policiaca Juez ordena liberación de Facundo Rosas, pero seguirá preso por la muerte de una mujer

Los sujetos llegaron hasta el área de telefonía celular y al estar frente a los mostradores pidieron a los empleados que les mostraran algunos aparatos, de pronto uno de los asaltantes sacó un arma de fuego tipo revolver y apunto a todos amagándolos y obligándolos a que se tiraran al piso.

Mientras uno de sus cómplices se quedó a vigilar en la entrada para avisar por si se acercaban los cuerpos policíacos, los otros dos delincuentes comenzaron a tomar lo más que pudieron de equipos celulares, los colocaron en las mochilas que llevaban y ya con botín en manos salieron del negocio para emprender la huida en un automóvil de características desconocidas que dejaron estacionado en el otro lado de la calle en sentido al Anillo Periférico.

Aunque poco después llegaron policías municipales ya no lograron ubicar a los delincuentes, según testigos uno de los ladrones vestía pantalón de mezclilla, sudadera y gorra negras con cubrebocas; otro llevaba pantalón y chamarra negros, y otro más pantalón de mezclilla azul obscuro y chaleco negro.

Se agregó que los malhechores eran de complexión delgada y tenían entre 20 a 25 años de edad.

Aunque se desconoce el monto total de lo robado, trascendió por fuentes policiales que se habrían llegado cerca de un centenar de teléfonos celulares lo que representa cientos de miles de pesos que lograron los rateros.

Afortunadamente no hubo personas lesionadas, aunque acudieron paramédicos de Protección Civil Municipal para atender a una de las empleadas que presentó crisis nerviosa.

Finalmente los elementos policíacos dieron indicaciones a los encargados de tienda para que acudan a la Fiscalía General del Estado para presentar su denuncia.

Policiaca Identifican al joven encontrado muerto en barranca de Cuautlancingo

Policiaca Envían a prisión a responsables de asesinatos de mujeres en San Jerónimo Caleras y la Rivera Anaya Policiaca Localizan sin vida a 'El Charro Negro' en calles de Tehuacán



"
1,https://www.elsoldepuebla.com.mx/policiaca/sujetos-asaltan-a-cuentahabiente-de-santander-en-santa-cruz-buenavista-8611763.html,mexico,elsoldepuebla,Sujetos asaltan a cuentahabiente de Santander en Santa Cruz Buenavista,4124-07-22,"Dos sujetos armados sorprendieron a un cuentahabiente justo al salir de la sucursal bancaria de Santander de la colonia Santa Cruz Buenavista, esta tarde.

Lo anterior movilizó a los cuerpos policiales pero al llegar, los delincuentes ya se habían dado a la fuga.

De acuerdo a fuentes policíacas se sabe que al numero de emergencias 9-1-1 llegó una llamada de auxilio debido a un asalto en la Calzada Zavaleta, a la altura del número 4124 entre las calles Camino Real a Cholula e Insurgentes.

Policiaca Chocan patrulla de la Policía Estatal y camioneta de lujo sobre la 11 Sur





Al llegar al punto, policías municipales de la Secretaría de Seguridad Ciudadana (SSC) se entrevistaron con un hombre que les dijo momentos antes acudió al banco Santander donde realizó el retiro de cierta cantidad de dinero (la cual no fue revelada) y de ahí salió para seguir con sus actividades.

Sin embargo de pronto fue interceptado por dos sujetos con pistola en mano que lo amagaron y exigieron que entregara el dinero que sabían de algún modo que llevaba.

Por temor a que le hicieran daño, el cliente bancario optó por entregar el efectivo y solamente alcanzó a distinguir que los ladrones se daban a la fuga en un automóvil de la marca Ford, tipo Topaz, de color vino en sentido a Cholula.

Aunque los uniformados montaron un dispositivo permanente de búsqueda, al momento no se ha logrado ubicar y detener a los responsables.

Cabe señalar que el afectado no recurrió al servicio gratuito de acompañamiento policial, el cual se otorga únicamente llamando al número 9-1-1 momentos antes de hacer alguna transacción bancaria en persona.

Finalmente le dieron indicaciones los uniformados al agraviado para que acuda a la Fiscalía General del Estado a presentar la denuncia correspondiente para las investigaciones que pudieran permitir identificar y hacer la captura de los delincuentes."
2,https://www.elsoldepuebla.com.mx/policiaca/timan-a-cuentahabiente-y-lo-despojan-del-efectivo-que-acababa-de-retirar-8622215.html,mexico,elsoldepuebla,Timan a cuentahabiente y lo despojan del efectivo que acababa de retirar,2037-07-22,"Un cuentahabiente fue despojado del efectivo que apenas había retirado del banco BBVA en la Central de Abasto, por dos mujeres que ágilmente protagonizaron el timo de la mujer “discriminada” argumentando que al ser indígena no podía cambiar un valioso cheque, el cual al final evidentemente era parte de la farsa.

Los hechos ocurrieron esta tarde, cuando nunca imaginó un trabajador precisamente de ese importante centro de abasto, lo que iba a pasarle tras acudir a realizar un retiro de 37 mil pesos en el banco ubicado en bulevar a San Pablo del Monte y la calle Mártires de Río Blanco.

El cliente bancario realizó sin ninguna complicación su transacción en la institución mencionada, pero justo al salir fue interceptado por una mujer con los aspectos de indígena, quien le manifestó que no sabía leer ni escribir y recién había fallecido su pequeño hijo que padecía labio leporino.

Policiaca Una mujer muerta y un hombre herido deja disputa por terrenos en San Miguel Espejo

La fémina le mostró un cheque de 77 mil pesos, de una supuesta ayuda humanitaria que le habían dado para poder regresar a su pueblo y darle cristiana sepultura a su hijo fallecido; sin embargo, ella no sabía cómo hacer el trámite para poder cobrar y le pidió de favor que él se lo cobrara.

En esos momentos llegó otra mujer, los llamados paleros o cómplices, quien le insistió al varón a que ayudara a la desprotegida mujer quien le ofreció un teléfono celular y el cheque mientras ella entraba al banco a preguntar si alguien le podía ayuda a realizar el cobro.

A los pocos minutos salió la “indígena” y le entregó el papel con el número de turno para pasar a ventanilla y ya realizar “sin ningún problema” el cheque de ella.

Fue por eso que la víctima accedió, pero antes, la mujer le dijo que no era por desconfiar pero sería bueno que él le diera algo para que no se fuera con los 77 mil pesos, por ello, él le entregó sus 37 mil pesos que acaba de retirar e ingresó al banco, donde se llevó el chasco de su vida, al indicarle el cajero que el cheque era falso o carecía de fondos.

Al salir de inmediato para buscar a las mujeres, ya habían desaparecido, según testigos indicaron que un hombre pasó en un vehículo y se las llevó con rumbo desconocido y sin apreciar las características del carro.

Fue ahí donde el agraviado descubrió que había sido timado y aunque llamó a las autoridades policíacas estas ya no pudieron hacer nada más que indicarle que acudiera a la Fiscalía General del Estado para presentar su denuncia."
3,https://www.elsoldepuebla.com.mx/policiaca/un-delincuente-muerto-y-otro-detenido-deja-enfrentamiento-en-la-colonia-santa-lucia-8629301.html,mexico,elsoldepuebla,Un delincuente muerto y otro detenido deja enfrentamiento en la colonia Santa Lucía,3208-07-22,"Luego de que tres delincuentes robaran una motocicleta, policías municipales se movilizaron de inmediato a prestar auxilio, sin embargo, fueron recibidos a balazos por los delincuentes; ante este hecho, los uniformados repelieron la agresión y lograron detener a uno de los asaltantes, otro murió abatido a tiros y uno más se escapó, esta noche, en calles de la colonia Santa Lucía.

De acuerdo a fuentes policíacas se sabe que un hombre llamó a los números de emergencias para pedir ayuda, indicando que acababan de robarle su motocicleta.

Fue por eso que se movilizaron policías municipales hasta las calles San José, esquina con Santa Inés (también esas calles son conocidas como el camino viejo que va de Santa Lucía a Los Héroes, famoso punto considerado como tiradero de cadáveres).

Local Grupo delictivo de Guerrero 'invadió' territorio poblano y mató a integrantes de Fuerza Territorial Poblana





Sin embargo, al llegar los uniformados, se toparon con los asaltantes y fueron agredidos a balazos por lo que los policías repelieron la agresión y mataron a uno de los delincuentes, otro fue asegurado y uno más se escapó.

Al tener controlada la situación, llegaron paramédicos del Sistema de Urgencias Médicas Avanzadas (SUMA) en la ambulancia 238 y de Protección Civil Municipal en la unidad 3208, mismos que al revisar al malandro abatido, confirmaron que no tenía signos vitales por los disparos que recibió en la balacera.

El ladrón detenido fue llevado para su remisión a Rancho Colorado y poco después será puesto a disposición del agente del Ministerio Público para resolver su situación jurídica.

Finalmente acudieron peritos y agentes ministeriales de la Fiscalía General del Estado de la Unidad Especializada de Flagrancias para encargarse de las diligencias del levantamiento del cadáver de quien quedó en calidad de desconocido."
4,https://www.elsoldepuebla.com.mx/policiaca/hallan-sin-vida-al-segundo-hombre-que-cayo-en-auto-al-dren-de-valsequillo-8612820.html,mexico,elsoldepuebla,Hallan sin vida al segundo hombre que cayó en auto al dren de Valsequillo,2048-07-22,"Tecamachalco, Pue.- Tras permanecer 48 horas desaparecido, la tarde de este lunes fue hallado sin vida el segundo hombre que cayó con su vehículo al dren de Valsequillo, en Tecamachalco.

Luego de intensas labores de rescate por parte de personal de Protección Civil Municipal, así como de voluntarios, alrededor de las 16:30 horas, fue localizado el cadáver de Fernando Ángel N., de 23 años de edad, originario de la comunidad de Santiago Alseseca, perteneciente al municipio de Tecamachalco.

El sitio fue acordonado por elementos de la Policía Municipal de Tecamachalco, en espera de las autoridades competentes para el levantamiento del cadáver y las diligencias de ley.

Se espera el arribo de personal de la Fiscalía General del Estado (FGE) para ordenar su traslado al anfiteatro, donde se le practicará la necropsia de ley y así determinar la causa exacta de muerte.

Cabe mencionar que el pasado sábado 16 de julio del año en curso, de acuerdo a la versión de testigos, los dos hombres circulaban a bordo de un vehículo Chevrolet Spark, color blanco, en estado de ebriedad y a exceso de velocidad, a la altura del libramiento a Santa Rosa, junta auxiliar de Tecamachalco.

El conductor perdió el control de la unidad y chocó con la barra de protección metálica, por lo que cayeron al canal de aguas negras con todo y vehículo.





Foto: Silvia Campos | El Sol de Puebla





Uno de los tripulantes logró salir con vida auxiliado por paramédicos de Protección Civil local, sin embargo, el segundo tripulante no corrió con la misma suerte."
5,https://www.elsoldepuebla.com.mx/doble-via/que-hacer-y-que-no-hacer-en-un-motel-la-mejor-guia-para-echar-pasion-8627216.html,mexico,elsoldepuebla,Qué hacer y qué no hacer en un motel: la mejor guía para echar pasión,,"Si eres de los que busca mayor privacidad para echar la pasión, es probable que consideres acudir a un motel. A continuación te compartimos la guía completa sobre qué hacer y qué no hacer en un motel.

Los moteles son el recurso infalible para los amantes furtivos (o no tanto), pues son el refugio donde se puede bajar la calentura romántica sin contratiempos. La idea de estos lugares es que vivas una experiencia con seguridad y placer sin mayores complicaciones.

También te puede interesar: ¿Los conoces? Estos son los moteles más exóticos de Puebla

Sin embargo, existen una serie de códigos o cosas en las que debes prestar atención, te explicamos para que tomes nota.

Revisa las condiciones de certificación antes de poner un pie dentro

Inclusive antes de la pandemia, era indispensable que el motel que elijas cumpla con las condiciones sanitarias y de desinfección. Si la recepcionista y las personas de limpieza andan sin cubrebocas, desde ahí deberías considerar buscar otro lugar.

Además, revisa que el motel cuente con certificado libre de Covid. Si te tranquiliza un poco, lleva tus propias toallitas húmedas y limpia las sábanas lo más que puedas.

No pidas alimentos del lugar

Puede ser tentador y cómodo aplicar el room service para recuperar energías sin tener que levantarte de la cama, pero lo general la comida de los moteles suele ser cara y terrible. Es preferible que busques otras opciones por fuera del lugar, ya sea un restaurante o comida rápida. La mayoría de los moteles no acepta que uses apps de entregas por si te lo estabas preguntando.

No te dejes convencer por las promociones. Foto: Pexels

Toma previsiones en cuanto a compras básicas

Nos referimos a condones, lubricante, juguetes sexuales y otros accesorios que necesites para para pasarla bien. Mejor pasar a surtirte en forma a antes de alquilar el cuarto, y no porque no quisiéramos hacerle el gasto al motel, pero por lo general hay más variedad en una sex shop o hasta en una farmacia, mejores precios y no tienes que estar bajando a media sesión a la recepción porque se acabaron los preservativos.

Pon la alarma de tu celular o avisa que te despierten

Es un consejo un poco obvio, pero así aprovecharás mejor el tiempo que ya pagaste. Además, de eso modo controlarás tu salida, ya que algunos lugares no te avisan y te cobran cargos extras si te pasas por unos minutos.

Que no se te vaya a acabar tu tiempo. Foto: Pexels

Toma una ducha antes de irte

Es importante que te bañes después de salir del lugar para evitar llevarte alguna bacteria o virus de los que seguramente abundan en el lugar. Puedes usar una de las toallas en el suelo de la regadera, así evitarás contagiarte de los muy comunes hongos que siempre abundan en esos lugares húmedos que son pisados por miles de personas al año.

Publicado originalmente en El Sol de la Laguna.

Salud Hombres con erecciones mañaneras tienen menor probabilidad de sufrir enfermedades cardíacas: estudio

Virales Peculiar clase sobre educación sexual a alumnos de prepa se hace viral en TikTok [video]"
6,https://www.elsoldepuebla.com.mx/policiaca/trabajador-resulta-lesionado-al-caer-accidentalmente-desde-una-azotea-8627204.html,mexico,elsoldepuebla,Trabajador resulta lesionado al caer accidentalmente desde una azotea,2022-07-31,"Un trabajador resultó lesionado al sufrir una caída accidental cuando se encontraba impermeabilizando una vivienda en la colonia El Mirador, esta tarde.

El alarife se identificó con el nombre de Gabriel, de 26 años de edad, quien tuvo que ser auxiliado por los cuerpos de emergencias y llevado a un hospital.

De acuerdo a fuentes de socorrismo, se sabe que el varón se encontraba en la azotea de una vivienda ubicada en la Privada de la 31 Oriente y la calle 16 Sur, cuando en un descuido se cayó desde una altura de 3 metros, causando algunas lesiones.

Policiaca Javier López Zavala es trasladado al penal de Almoloya





Los encargados de la vivienda de inmediato corrieron a tratar de ayudarlo, pero para no lastimarlo más, optaron por llamar al número de emergencias 9-1-1 y pedir ayuda indicando que una persona había sufrido una penosa caída y se necesitaba de una ambulancia.

Fue así que poco después llegaron hasta el punto personal de Rescate Urbano de Protección Civil (PC) Municipal, quienes en coordinación con paramédicos del Sistema de Urgencias Médicas Avanzadas (SUMA), lo revisaron, encamillaron y luego de brindarle los primeros auxilios, realizaron el laborioso descenso a través de un juego de cuerdas.

Debido a que Gabriel tenía diversos golpes y para descartar alguna fractura, el joven trabajador fue subido a una ambulancia y trasladado al Hospital de Traumatología y Ortopedia del Instituto Mexicano del Seguro Social (IMSS), en la unidad de SUMA 112, indicando que afortunadamente se encontraba estable.

Reportan caído de edificio, pero no encuentran a nadie

Cabe señalar que ayer por la tarde-noche, reportaron a los números de emergencias, que había una persona lastimada al caer desde un edificio justo frente a la Universidad Tec de Monterrey, en la zona de Angelópolis.

Al llegar cuerpos de emergencias del lado de Puebla, no localizaron a la supuesta persona, por lo que se retiraron. Aparentemente paramédicos de San Andrés Cholula, lo auxiliaron y se lo llevaron estable a un centro hospitalario."
7,https://www.elsoldepuebla.com.mx/tags/temas/Los_tiempos_idos,mexico,elsoldepuebla,Los tiempos idos - El Sol de Puebla,,"Utilizamos cookies para personalizar y mejorar su experiencia en nuestro sitio y optimizar la publicidad que le ofrecemos. Visite nuestra Política de cookies para saber más. Al hacer clic en ""aceptar"", usted está de acuerdo con el uso que hacemos de las cookies."
8,https://www.elsoldepuebla.com.mx/policiaca/fluidos-corporales-y-prendas-femeninas-hallan-en-casa-de-joven-desaparecido-durante-cateo-yafet-isai-puebla-desaparecidos-6373480.html,mexico,elsoldepuebla,"Fluidos corporales y prendas femeninas, hallan en casa de joven desaparecido durante cateo",2022-07-30,"A casi 4 meses de la desaparición de Yafet Isai Vernet Pérez, la madre del joven acusa tortuguismo de la Fiscalía General del Estado de Puebla (FGE) en su búsqueda, pues a pesar de las pruebas existentes y las aportadas por ellos mismos, no hay avances en la localización del varón.

En entrevista con este medio, Teresa Pérez Valderrama, -madre de Yafet- refirió que ellos han otorgado a la Fiscalía, videos, equipos celulares y tarjetas de memoria propiedad del hombre de 27 años de edad, sin embargo, ninguno de los indicios ha acelerado las investigaciones.

A decir de la madre de Yafet, la casa donde vivía el varón en el fraccionamiento Lomas del Mármol 3, ha sido cateada por la Fiscalía en dos ocasiones. En uno de los operativos, las autoridades hallaron fluidos corporales en las sábanas y prendas femeninas, mismas que fueron embaladas para las indagatorias. Según la señora Teresa, Yafet mantenía una relación sentimental con una fémina, aunque desconoce si la ropa encontrada en el departamento de su hijo pertenezca a la mujer.

Local

El mismo día que Yafet desapareció -21 de octubre-, fue hallado abandonado su vehículo con las puertas abiertas, por lo que testigos en la zona dieron aviso al número de emergencia 9-1-1; ante la ausencia de los oficiales, un servicio de corralón se llevó el auto, en donde fue encontrado hasta el 30 de octubre, nueve días después de la desaparición del hombre.

“Creo que la Fiscalía nos oculta información”, aseguró Teresa, quien también señaló, que a pesar de solicitar la carpeta de investigación del caso de su hijo, únicamente le fueron entregadas 800 hojas de 1200 que contiene el expediente.

Aunado al sufrimiento que la desaparición de su hijo trajo consigo, Teresa fue defraudada por un supuesto abogado e investigador privado, quien se comprometió con ella para otorgarle información valiosa que llevaría a la ubicación de su hijo a cambio de 200 mil pesos, por lo que le dio como pago inicial 100 mil pesos, no obstante, el hombre jamás le proporcionó información.

Estado

“Yo creo que mi hijo está vivo”, finalizó Teresa Pérez, quien pide que se agilicen las investigaciones en torno a la desaparición de su hijo, pues lo único que quiere es volver a ver a Yafet."
9,https://www.elsoldepuebla.com.mx/analisis/daigo/t-mec...-8628890.html,mexico,elsoldepuebla,"Noticias Locales, Policiacas, sobre México, Puebla y el Mundo",,"Utilizamos cookies para personalizar y mejorar su experiencia en nuestro sitio y optimizar la publicidad que le ofrecemos. Visite nuestra Política de cookies para saber más. Al hacer clic en ""aceptar"", usted está de acuerdo con el uso que hacemos de las cookies."
