,link,country,news_outlet,title,date,text
0,https://www.elsoldezacatecas.com.mx/republica/sociedad/asesinato-del-hijo-de-fredid-roman-principal-linea-de-investigacion-en-su-homicidio-8780392.html,mexico,elsoldezacatecas,"Asesinato del hijo de Fredid Román, principal línea de investigación en su homicidio",2022-03-25,"Una de las líneas de investigación con las que se relaciona el asesinato del periodista Fredid Román Román, es el asesinato de su hijo Bladimir Román, ocurrido el 1ro de julio.

Si bien la Fiscalía General del Estado no estableció fundamento por la que hizo el señalamiento, se cree que los ambos hechos violentos pueden estar relacionados.

Te recomendamos: Ya se investiga el asesinato del periodista Fredid Román: AMLO

Fue el 1ro julio cuando en el centro de El Ocotito fueron asesinados Bladimir Román, hijo de Fredid Román, y el señor Bertín. El hijo del periodista que se dedicaba a vender pollo fue atacado a balazos.

Cuando la familia de Bladimir llegó al sitio para llevarse el cuerpo a su domicilio, el secretario de la comisaría trató de impedirlo, esto con el motivo de que las autoridades ministeriales fueran quienes realizaran el levantamiento cadavérico.

Tras el asesinato, Fredid Román protestó ante la Fiscalía para el esclarecimiento del ataque de su hijo.

El pasado lunes, Fredid Román fue asesinado a balazos en Chilpancingo, Guerrero, por sujetos armados que se dieron a la fuga.

En su boletín la Fiscalía aseguró que se investigará el crimen y se comprometió a que llevará ante las instancias judiciales a los responsables.

AMLO señala que el jueves se darán avances de las investigaciones

El presidente Andrés Manuel López Obrador lamentó este martes el asesinato del periodista Fredid Román Román, ocurrido ayer por la tarde en las calles del Municipio de Chilpancingo, Guerrero.

El presidente aseguró que el caso ya se está investigando y dijo que el asesinato se analizó en la reunión de Seguridad que realiza todas las mañanas, así mismo adelantó que el jueves dará un adelanto de las indagatorias.

“Ya estamos trabajando, esta mañana lo tratamos en la reunión de Seguridad y pasado mañana ya les tenemos informes, lo mismo de otros casos, o sea que se está avanzando”, dijo el presidente.

Con el asesinato de Fredid Román suman quince periodistas asesinados, los otros periodistas han sido: Juan Arjón; Ernesto Méndez; Antonio de la Cruz, en Ciudad Victoria; Yesenia Mollinedo y Johana García del Portal Veraz asesinadas en mayo; Lourdes Maldonado; Margarito Martínez, en Tijuana, Baja California; Heber López Cruz, en Salina Cruz, Oaxaca; Juan Carlos Muñiz, en Fresnillo, Zacatecas; Jorge Camero Zazueta, en Empalme, Sonora; Roberto Toledo, en Zitácuaro, Michoacán; José Luis Gamboa, en Veracruz; Armando Linares, en Zitácuaro, Michoacán y Luis Enrique Ramírez, en Culiacán, Sinaloa.

➡️ Suscríbete a nuestro Newsletter y recibe las notas más relevantes en tu correo

Respecto a “Freddy” Roman Román, era exdirector del diario Expresión Popular y fundador de otros medios de comunicación en Guerrero.

Nota publicada en El Sol de Acapulco









TE RECOMENDAMOS EL PODCAST ⬇️

Disponible en: Acast, Spotify, Apple Podcasts, Google Podcasts, Deezer y Amazon Music"
1,https://www.elsoldezacatecas.com.mx/mexico/sociedad/medicos-sin-fronteras-ncrementa-violencia-sexual-y-robos-a-migrantes-en-veracruz-8654734.html,mexico,elsoldezacatecas,Incrementa violencia sexual y robos a migrantes en Veracruz: Médicos Sin Fronteras,2067-08-25,"Médicos Sin Fronteras (MSF), alertó sobre un aumento de violencia sexual y robos a personas migrantes en Coatzacoalcos, Veracruz.

""En las últimas 4 semanas, el personal sanitario de Médicos Sin Fronteras (MSF) brindó atención a 850 personas migrantes. De estas, 51 reportaron haber sido despojadas de todas sus pertenencias y haber sido agredidas física y sexualmente durante el tránsito por Francisco Rueda, en Tabasco, además de Las Choapas y Coatzacoalcos, Veracruz, específicamente en la entrada de este municipio"", detalló MSF en un comunicado.

Te puede interesar: Los niños sin nombre, ciudadanos invisibles para el gobierno mexicano

La ONG reportó que sus equipos que brindan atención médica, psicológica y de trabajo social a los migrantes que se encuentran en esta ciudad del sureste de México alertaron sobre la situación y detallaron que entre abril y este día el 67 % de las consultas médicas y psicológicas han sido relacionadas con algún tipo de violencia.

Además, MSF consideró ""especialmente preocupantes"" los casos de violencia sexual, ya que en el último mes el personal de la organización dio atención médica y psicológica a nueve sobrevivientes de violación, cuando en el último trimestre el número de sobrevivientes atendidas no superaba un caso por mes.

Otros tipos de violencia a los que la población migrante se ha visto expuesta, explicaron, fueron asaltos, heridas con arma blanca, paliza, tratos crueles y degradantes por parte de grupos delictivos, ""los cuales ocurren de manera sistemática y cada vez con más frecuencia y severidad"".

""Desde hace varios años MSF ha alertado sobre la violencia y los métodos de tortura y abusos cometidos contra la población migrante en Coatzacoalcos, en particular, y en México en general"", indicó el comunicado.

Sociedad SRE informa que EU decidió otorgar 55 mil visas H2B a mexicanos

""La organización médico-humanitaria hace un llamado a las autoridades para que se implementen las medidas de seguridad y políticas que contribuyan a disminuir las situaciones de abuso y amenazas que enfrentan las personas en movimiento durante su tránsito o estancia en el estado"", terminó.

La región vive un flujo migratorio récord a Estados Unidos, cuya Oficina de Aduanas y Protección Fronteriza (CBP, en inglés) ha interceptado a más de 1,6 millones de personas en lo que va del año fiscal 2022, que inició en octubre pasado.

Además, México recibió un récord de más de 58.000 solicitudes de refugio en la primera mitad de 2022, un incremento anual de casi 15 %, según la Comar.









TE RECOMENDAMOS EL PODCAST ⬇️

Disponible en: Acast, Spotify, Apple Podcasts, Google Podcasts, Deezer y Amazon Music"
2,https://www.elsoldezacatecas.com.mx/republica/sociedad/rescate-de-mineros-atrapados-en-coahuila-podria-tardar-casi-un-ano-8791318.html,mexico,elsoldezacatecas,Rescate de mineros atrapados en Coahuila podría tardar casi un año,2022-08-11,"El recate de los 10 trabajadores atrapados en la mina El Pinabete, en el municipio de Sabinas, Coahuila, podría tardar de seis a 11 meses, dieron a conocer sus familiares.

De acuerdo con las familias de los mineros, la coordinadora nacional de Protección Civil, Laura Velázquez, fue quien les informó de esta situación, motivo por el que piden su renuncia.

Sociedad Mina aledaña inundó nuevamente los pozos donde están atrapados 10 mineros: AMLO

Carmen Montelongo Pérez, hermana de Jaime Montelongo, uno de los carboneros atrapados, informó con coraje e impotencia que no es posible que ahora las autoridades les digan que harán un tajo para llevar a cabo el rescate pero que estas maniobras tardarán casi un año.

Esta mañana fueron citados los familiares con el argumento de que iban a recibir información relevante e incluso durante la conferencia matutina del presidente Andrés Manuel López Obrador se dijo que habría una reunión con las familias para proponerles una acción para las maniobras del rescate.

“Es una mentirosa (Laura Velázquez); tenía cara de asustada junto con el buzo cuando empezaron a hacerle preguntas a los dos, empezaron a tartamudear los dos, en ella está desde un principio dejarlos ahí (a los mineros atrapados)”, reclamó la señora Carmen.

La hermana del minero acusó que las nuevas acciones planteadas por la Coordinación Nacional de Protección Civil (CNPC) están orquestadas por la titular de la dependencia para darle carpetazo a la tragedia.

Antes de que se planteara realizar el tajo para localizar a los trabajadores, el último plan era inyectar concreto o espuma para aislar la mina Las Conchas Norte, desde la que continúa filtrándose agua hacia El Pinabete.

“Son mentiras las que le está platicando al Presidente, nosotros desde ayer sabíamos del tajo, ella no sabía. ¿Qué pasa, en dónde está, y ella platicándole al presidente? Si ya no puede que se retire, que se largue, que deje a alguien que sepa, ya los muchachos (mineros voluntarios) desde cuando los hubieran sacado”, reclamó.

Asimismo, Carmen reclamó que las autoridades que coordinan el rescate retiraron a los familiares del lugar donde se resguardaban cerca de la mina, esperando noticias sobre los trabajos.

“Picó y picó en agua, no sé si otros se dieron cuenta que el agua brotó, ellos reventaron e hicieron que los pozos se volvieran a llenar, porque topó en carbón atrás de donde estábamos y no descansó hasta que nos sacó de ahí”, criticó.

Los familiares de los mineros señalan que ya les hablaron de temas de indemnización cuando todavía el rescate no se ha llevado a cabo.

Publicado originalmente en El Sol de La Laguna"
4,https://www.elsoldezacatecas.com.mx/republica/sociedad/sujetos-armados-irrumpen-en-bar-de-manzanillo-hay-siete-personas-heridas-8737822.html,mexico,elsoldezacatecas,Sujetos armados irrumpen en bar de Manzanillo; hay siete personas heridas,2022-08-21,"Durante la madrugada, sujetos armados irrumpieron en un bar y lesionaron a cinco hombres y dos mujeres, que ahí se encontraban. En los trabajos de búsqueda de los causantes, se logró la detención de dos de los presuntos participantes de la agresión.

Te recomendamos: Inician carpeta de investigación contra los 167 detenidos en Uruapan, Michoacán

El Gobierno de Colima informó esta mañana, que el ataque ocurrió la madrugada de este domingo en un bar ubicado en el boulevard costero Miguel de la Madrid Hurtado, en Manzanillo.

Luego de ese hecho delictivo, se le dio aviso a los cuerpos de seguridad, quienes de inmediato se trasladaron al centro nocturno.

Paramédicos también arribaron al establecimiento denominado Botanero 21, en donde prestaron los primeros auxilios a las víctimas, quienes fueron trasladadas a un hospital para su atención.

Diversas corporaciones realizaron operativos para ubicar a los probables responsables y con la labor coordinada y acompañamiento del Centro de Coordinación, Control, Comando, Comunicación, Cómputo e Inteligencia (C5i), se logró la detención de dos personas por parte de la Policía Municipal de Manzanillo.

Se presume que esas personas estarían relacionadas con este ataque. También se aseguró un vehículo.

➡️ Suscríbete a nuestro Newsletter y recibe las notas más relevantes en tu correo

Los dos detenidos ya fueron puestos a disposición de la Fiscalía General del Estado (FGE) de Colima para que se lleven a cabo las investigaciones.

Nota publicada en El Occidental"
5,https://www.elsoldezacatecas.com.mx/policiaca/asesinan-a-una-mujer-en-fresnillo-zacatecas-8638620.html,mexico,elsoldezacatecas,"Asesinan a una mujer en Fresnillo, Zacatecas",911-08-25,"A las tres de la tarde de ayer sábado, una mujer fue víctima de un ataque armado en la Avenida Enrique Estrada, en la cabecera municipal de Fresnillo, Zacatecas. No sobrevivió.

Luego de recibir el reporte a través del Sistema de Emergencias 911, se trasladaron al lugar elementos policiacos, quienes localizaron, en plena vía pública y frente a las instalaciones de varios negocios, el cuerpo de una mujer que presentaba múltiples heridas de bala.

Paramédicos que también llegaron al lugar, confirmaron que la mujer había perdido la vida.

_________________________________________________________________________________________________

El Sol de Zacatecas te informa

➡️ Juez acepta amparo de Caro Quintero para evitar su extradición

_________________________________________________________________________________________________

Los policías procedieron a acordonar la zona a fin de preservar los indicios y solicitaron la presencia de personal de la Fiscalía General de Justicia.

La circulación vial se cerró por completo, por lo que automovilistas tuvieron que tomar vías alternas.

Personal de la Dirección de Servicios Periciales arribaron al lugar y procedieron a resguardar los indicios, en tanto que los cuerpos fueron trasladados al Servicio Médico Forense para la necropsia de ley.

Escucha el podcast ⬇️"
6,https://www.elsoldezacatecas.com.mx/gossip/,mexico,elsoldezacatecas,"Noticias Locales, Policiacas, sobre México, Zacatecas y el Mundo",,"Utilizamos cookies para personalizar y mejorar su experiencia en nuestro sitio y optimizar la publicidad que le ofrecemos. Visite nuestra Política de cookies para saber más. Al hacer clic en ""aceptar"", usted está de acuerdo con el uso que hacemos de las cookies."
7,https://www.elsoldezacatecas.com.mx/republica/sociedad/hombres-rafaguean-taller-en-manzanillo-y-asesinan-a-un-hombre-8748512.html,mexico,elsoldezacatecas,Hombres rafaguean taller en Manzanillo y asesinan a un hombre,,"Este martes se registraron una serie de hechos delictivos en Colima. En Manzanillo autoridades notificaron el asesinato de una persona en un taller.

Esto ocurrió en la colonia Los Patos, cuando sujetos a bordo de una motocicleta dispararan contra dos individuos.

Te recomendamos: Estados Unidos emite 'alerta roja de viaje' a Colima

El ataque ocurrió cuando las personas se encontraban en un taller ubicado en la avenida Terraplena, dejando muerto a uno de los agredidos y a otro más lesionado, poco después fue trasladado para recibir atención médica.

Tras el ataque, el lugar fue acordonado por policías y marinos quienes resguardaron la zona mientras se llevó a cabo el levantamiento de evidencias y del cuerpo, el cual fue trasladado al SEMEFO.

Mientras que en la capital de Colima, en la colonia La Estancia, se registró el ataque a balazos contra un hombre quien resultó ileso.

El sujeto se encontraba en la calle Cándido Aguilar, entre las calles Abelardo L. Rodríguez y Gutiérrez Tibón cuando fue sorprendido por sujetos armados quen le dispararon en diversas ocasiones, sin que resultara herido.

➡️ Suscríbete a nuestro Newsletter y recibe las notas más relevantes en tu correo

Tras la agresión elementos policiacos arribaron al lugar para el resguardo de la evidencia que fue levantada por personal de la Fiscalía General.

Nota publicada en El Occidental"
8,https://www.elsoldezacatecas.com.mx/republica/sociedad/asesinan-a-subdirector-de-seguridad-publica-de-valle-de-santiago-8702977.html,mexico,elsoldezacatecas,Asesinan a subdirector de Seguridad Pública de Valle de Santiago,2022-08-21,"Valle de Santiago, Gto.- David González, Subdirector de seguridad pública, murió tras ser víctima de un ataque armado luego de concluir su turno, se encontraba en una fonda de comida cuando ocurrió el ataque..

El 911 recibió un reporte alrededor de las 21 horas, en el que se alertó sobre detonaciones de arma de fuego, en la Av. Heroico Colegio Militar por lo que solicitaba la presencia de paramédicos de Cruz Roja así como de personal de Seguridad Pública debido a que se trataba de un elemento de la misma quien estaba herido.

Sociedad Masacre en Celaya: matan a balazos a ocho personas en la comunidad San José el Nuevo

De inmediato se trasladaron diversas unidades de la corporación policial así como elementos de SeDeNa y Guardia Nacional quienes establecieron un perímetro de seguridad donde ocurrió el ataque.

En el lugar, durante la transmisión en vivo, el reportero de este medio informativo fue agredido por familiares del ahora occiso y fue retirado del lugar de manera violenta para después ser escoltado por elementos de SeDeNa fuera de la zona donde ocurrió el ataque.

➡️ Suscríbete a nuestro Newsletter y recibe las notas más relevantes en tu correo

Personal de la Agencia de Investigación Criminal dio inicio a una carpeta de investigación sobre este hecho, en 5 día han asediando a tres elementos de esa corporación dejando en uno de los ataques a tres menores lesionados. Nota publicada por El Sol de Salamanca









TE RECOMENDAMOS EL PODCAST ⬇️

Disponible en: Acast, Spotify, Apple Podcasts, Google Podcasts, Deezer y Amazon Music"
10,https://www.elsoldezacatecas.com.mx/policiaca/agresion-armada-en-machines-deja-tres-muertos-y-tres-detenidos-8664763.html,mexico,elsoldezacatecas,Agresión armada en Machines deja tres muertos y tres detenidos,911-08-25,"La madrugada de este viernes fueron hallados en el interior de una camioneta los cuerpos sin vida de tres hombres, víctimas de una agresión armada, que tuvo lugar en la comunidad de Machines, perteneciente al municipio de Zacatecas; horas después los presuntos homicidas fueron detenidos, uno de ellos presenta lesiones que no ponen en riesgo su vida.

Agresión armada

Durante los primeros minutos de este viernes, el Sistema de Emergencias 911 recibió una llamada telefónica anónima en la que alertaban que en la comunidad de Machines se había registrado una agresión con armas de fuego en la que habían resultado varias personas lesionadas, lo que originó que efectivos de las corporaciones de seguridad se trasladaron hasta ese lugar.

Al arribar, agentes de la Policía Estatal Preventiva confirmaron que en la calle Mariposas, en el interior de un vehículo, había tres hombres lesionados, sin embargo al ser valorados por paramédicos se confirmó que ya no contaban con signos vitales; por ello los oficiales procedieron con el acordonamiento del perímetro.

_________________________________________________________________________________________________

El Sol de Zacatecas te informa

➡️ Ejecutan a menor de edad frente a su familia en Guadalupe, Zacatecas

_________________________________________________________________________________________________

Personal de la Policía de Investigación quedó a cargo de las investigaciones donde llevaron a cabo las diligencias periciales correspondientes.

Al mismo tiempo, se implementó un operativo en la comunidad a fin de dar con los agresores.

Detienen a presuntos agresores

A las tres de la tarde de este viernes, la Vocería de la Mesa de Concertación de Paz dio a conocer que como resultado de una acción coordinada de elementos de las policías Estatal Preventiva y Municipal de Zacatecas se logró la detención de tres personas armadas en la comunidad de Machines.

_________________________________________________________________________________________________

➡️ Mantente informado en nuestro canal de Google Noticias

_________________________________________________________________________________________________

A través de un comunicado la Vocería detalla que, durante el despliegue de búsqueda de los agresores, se localizó una camioneta Hilux, que presentaba impactos de arma de fuego, en zonas aledañas hallaron a tres hombres que portaban armas largas, uno de ellos con heridas de bala, por lo que fue trasladado a recibir atención médica.

Por la portación de armas, se procedió a la detención de los tres hombres y el aseguramiento de dos armas largas, un cargador y dos vehículos, que fueron puestos a disposición de la autoridad competente, quien determinará su probable responsabilidad en la agresión armada.

Escucha el podcast ⬇️"
11,https://www.elsoldezacatecas.com.mx/republica/sociedad/rina-en-bar-de-hidalgo-deja-dos-muertos-y-tres-heridos-8635865.html,mexico,elsoldezacatecas,Riña en bar de Hidalgo deja dos muertos y tres heridos,2022-08-25,"TULA DE ALLENDE, Hgo.- Fue una noche violenta la que se registró al interior de un bar, ubicado sobre la carretera Tula-Refinería, en la comunidad de El Llano 2a Sección.

Los primeros reportes señalan que se registró una riña entre clientes, que derivó en una balacera. En el lugar una persona murió, cuatro personas más resultaron heridas y trasladadas a un hospital y uno de estos murió mientras recibía atención médica.

La Secretaria de Seguridad Pública Municipal de Tula recibió reporte alrededor de las 3:50 horas, fue informada que en el interior de un bar en El Llano se había registrado una balacera, por lo que se trasladaron al sitio.

Te puede interesar: Atrapan a un asaltante que atacó a mujer de la tercera edad en su casa; falta otro

Sociedad Tras asesinato de médico, UJED retira a sus pasantes de zonas de riesgo en Durango

En el centro de diversión, al interior de salón, los policías localizaron el cuerpo de una personas, con al menos un impacto de arma de fuego en la cabeza, que más tarde paramédicos pudieron certificar que ya no contaba con signos vitales.

Se trata de hombre de complexión delgada, tez morena, vestido con camisa color blanco, chaleco azul marino, pantalón de mezclilla y tenis blancos.

Los trabajadores del establecimiento les informaron a los policías municipales que tras el zafarrancho clientes, se llevaron a varias personas heridos en dos vehículos particulares.

Se conoció que al Hospital Regional Tula-Tepeji fueron ingresados cuatro personas heridas de bala, uno que presentaba cinco impactos por proyectil de arma de fuego en diferentes partes del cuerpo, quien murió mientras recibía atención médica.

➡️ Suscríbete a nuestro Newsletter y recibe las notas más relevantes en tu correo

También fue ingresado un hombre que presentaba un impacto por proyectil de arma de fuego, en el pie izquierdo, otro con impacto de bala a la altura del pecho y otro con tres impactos de bala, uno a la altura del hombro y dos en la espalda, lo que da cuenta de que la interior del bar se registró una fuerte balacera."
